code_flag,gw_part_no,roll_length
A,1091A06T21,0.000
A,1091A08T41,0.000
A,1091A07C21,0.000
O,1091A06C41,396.098
O,1091A06C41,1107.235
O,1091A06C41,2140.893
O,1091A06C41,467.904
O,1091A06T21,1100.668
R,1091A06C21,1652.717
N,1091A06T21,3000.000
N,1091A06T21,3000.000
N,1091A06T21,3000.000
N,1091A06T21,3000.000
N,1091A06T21,3000.000
N,1091A06T21,3000.000
N,1091A06T21,3000.000
N,1091A06T21,3000.000
N,1091A06T21,3000.000
N,1091A06T21,3000.000
N,1091A06T21,3000.000
N,1091A06T21,3000.000
N,1091A06T21,3000.000
N,1091A06T21,3000.000
N,1091A06T21,3000.000
N,1091A06T21,3000.000
N,1091A06T21,3000.000
N,1091A06T21,3000.000
N,1091A06T21,3000.000
N,1091A06T21,3000.000
N,1091A06T21,3000.000
N,1091A06T21,3000.000
N,1091A06T21,3000.000
N,1091A06T21,3000.000
N,1091A06T21,3000.000
N,1091A06T21,3000.000
N,1091A06T21,3000.000
N,1091A06T21,3000.000
N,1091A06T21,3000.000
N,1091A06T21,3000.000
N,1091A06T21,3000.000
N,1091A06T21,3000.000
N,1091A06T21,3000.000
N,1091A06T21,3000.000
N,1091A06T21,3000.000
N,1091A06T21,3000.000
N,1091A06T21,3000.000
N,1091A07T21,3000.000
N,1091A07T21,3000.000
N,1091A07T21,3000.000
N,1091A07T21,3000.000
N,1091A07T21,3000.000
N,1091A07T21,3000.000
N,1091A07T21,3000.000
N,1091A07T21,3000.000
N,1091A07T21,3000.000
N,1091A07T21,3000.000
N,1091A07T21,3000.000
N,1091A07T21,3000.000
N,1091A07T21,3000.000
N,1091A07T21,3000.000
N,1091A07T21,3000.000
N,1091A07T21,3000.000
N,1091A07T21,3000.000
O,1091A06C41,1797.407
O,1091A06C41,678.477
F,1091A08C41,102.860
O,1091A06C41,1432.921
A,1091A07C21,0.000
F,1091A06C21,29.541
R,1091A06C21,1509.792
R,1091A06C21,77.709
A,1091A07C21,0.000
O,1091A08T21,2466.389
O,1091A06T21,1055.384
O,1091A07T21,2994.233
R,1091A06C21,670.189
F,1091A06C21,43.206
N,1091A07C21,3000.000
N,1091A07C21,3000.000
N,1091A07C21,3000.000
N,1091A07C21,3000.000
N,1091A07C21,3000.000
N,1091A07C21,3000.000
N,1091A07C21,3000.000
N,1091A07C21,3000.000
N,1091A07C21,3000.000
N,1091A07C21,3000.000
N,1091A07C21,3000.000
N,1091A07C41,3000.000
N,1091A07C41,3000.000
N,1091A07C41,3000.000
N,1091A07C41,3000.000
N,1091A07C41,3000.000
N,1091A07C41,3000.000
N,1091A07C41,3000.000
N,1091A07C41,3000.000
N,1091A07C41,3000.000
N,1091A07C41,3000.000
N,1091A07C41,3000.000
N,1091A07C41,3000.000
N,1091A07T21,3000.000
N,1091A07T21,3000.000
N,1091A07T21,3000.000
N,1091A07T21,3000.000
N,1091A07T21,3000.000
N,1091A07T21,3000.000
N,1091A07T21,3000.000
N,1091A07T21,3000.000
N,1091A07T21,3000.000
N,1091A07T21,3000.000
N,1091A07T21,3000.000
N,1091A07T21,3000.000
R,1091A07T41,2131.243
F,1091A06C21,39.368
R,1091A06C21,1706.434
R,1091A06C21,969.508
A,1091A07T41,0.000
R,1091A06C21,931.915
R,1091A06C21,512.615
O,1091A06T21,2395.747
F,1091A08C41,51.241
O,1091A06T21,1909.346
F,1091A09C21,74.731
F,1091A08C41,49.482
R,1091A07C41,1996.591
O,1091A06T21,869.146
R,1091A07C41,1503.446
O,1091A06T21,892.346
F,1091A09C21,55.487
O,1091A06T21,1982.522
F,1091A09C21,51.339
A,1091A08C41,0.000
O,1091A06T21,1915.033
F,1091A08C41,62.932
R,1091A06C21,662.333
O,1091A06T21,0.000
N,1091A06T21,3000.000
N,1091A06T21,3000.000
N,1091A06T21,3000.000
N,1091A06T21,3000.000
N,1091A06T21,3000.000
N,1091A06T21,3000.000
N,1091A06T21,3000.000
N,1091A06T21,3000.000
N,1091A06T21,3000.000
N,1091A06T21,3000.000
N,1091A06T21,3000.000
N,1091A06T21,3000.000
N,1091A06T41,3000.000
N,1091A06T41,3000.000
N,1091A06T41,3000.000
N,1091A06T41,3000.000
N,1091A06T41,3000.000
N,1091A06T41,3000.000
N,1091A06T41,3000.000
N,1091A06T41,3000.000
N,1091A07C21,3000.000
N,1091A07C21,3000.000
N,1091A07C21,3000.000
N,1091A07C21,3000.000
N,1091A07C21,3000.000
N,1091A07C21,3000.000
N,1091A07C21,3000.000
N,1091A07C21,3000.000
N,1091A07C41,3000.000
N,1091A07C41,3000.000
N,1091A07C41,3000.000
N,1091A07C41,3000.000
N,1091A07C41,3000.000
N,1091A07C41,3000.000
N,1091A07C41,3000.000
N,1091A07C41,3000.000
N,1091A07C41,3000.000
N,1091A07C41,3000.000
N,1091A07C41,3000.000
N,1091G07PA4,1000.000
N,1091G07PA4,1000.000
N,1091G07PA4,1000.000
N,1091G07PA4,1000.000
N,1091G07PA4,1000.000
N,1091G07PA4,1000.000
N,1091G07PA4,1000.000
N,1091G07PA4,1000.000
N,1091G07PA4,1000.000
N,1091G07PA4,1000.000
R,1091A06C21,383.905
R,1091A06C21,264.240
