ENTITY,MODEL,STATUS,LOT#,OPER,PRODUCT,BOND ID,OUTPLAN,IN TIME,CUST,PIN_PKG,WIP,PM,Lot Part Id,Lot Urgent Code,Last Wip Lot,Last Pin Package,Last Cust,Last bd id,Last Part ID,G.UPH,wip_outplan_time
BB211,UTC3000,IDLE,,,,AAW024XJ6011B,,22-01-14 06:45,,,,01/25/2022 MP,,,R02AWGH01,STBGA24A4L,MXIC,AAW024XJ6011B,1091A07T41,311.0338,
BB212,UTC3000,RUNNING,R02BUA603,2200,084UCBU006,ABU084CC2004B,22-01-15 03:28,22-01-14 12:10,ICSI,FBGA-84UC(2),5600,,,,R02BUA702,FBGA-84UC(2),ICSI,ABU084CC2004B,1091A07C21,365.9533,2022-01-15 03:28:28
BB213,UTC3000,IDLE,,,,AAW024XJ6010B,,22-01-14 00:53,,,,,,,R02AWFP02,STBGA24A4L,MXIC,AAW024XJ6010B,1091A07T41,342.7166,
BB214,UTC3000,SETUP,R02AWCH08,2200,048TPAW086,AAW048TP1041B,22-01-14 15:53,22-01-14 15:23,MXIC,TSOP1-48/M2,720,,1091A08T41,,R02AWBG06,TSOP1-48/M2,MXIC,AAW048TP1041B,1091A08T41,77.5263,2022-01-14 13:46:21
BB215,UTC3000,RUNNING,R02BUA602,2200,084UCBU006,ABU084CC2004B,22-01-15 05:03,22-01-14 13:50,ICSI,FBGA-84UC(2),5568,,,,R02BUAV03,FBGA-84UC(2),ICSI,ABU084CC2004B,1091A07C21,365.9533,2022-01-15 05:03:14
BB216,UTC3000,IDLE,,,,AAW024XJ6010B,,22-01-14 13:43,,,,,,,R02AWGC01,STBGA24A4L,MXIC,AAW024XJ6010B,1091A07T41,342.7166,
BB217,UTC3000,RUNNING,R03MSI701,2200,096ECMS010,AMS096EC3001B,22-01-14 15:02,22-01-13 18:43,MTI,FBGA-96UEC,5560,,1091A06T21,,R02MSHW03,FBGA-96UEC,MTI,AMS096EC3001B,1091A06T21,273.6119,2022-01-14 15:02:25
BB218,UTC3000,RUNNING,R02MSCZ02,2200,078EPMS004,AMS078EP1001A,22-01-15 09:44,22-01-14 12:11,MTI,FBGA-78UEP,5920,,1091A06T21,,R02MSAN04,FBGA-78UEP,MTI,AMS078EP1001A,1091A06T21,274.7358,2022-01-15 09:44:45
BB219,UTC3000,ENG,,,,AAW056TH1015A,22-01-14 12:42,22-01-14 12:42,,,,,,,R03AWAK03,STBGA24A4L,MXIC,AAW024XJ6010B,1091A07T41,,
BB220,UTC3000,RUNNING,R02MSB401,2200,078EPMS004,AMS078EP1001A,22-01-14 23:18,22-01-14 02:37,MTI,FBGA-78UEP,5680,,1091A06T21,,R02MSAP02,FBGA-78UEP,MTI,AMS078EP1001A,1091A06T21,274.7358,2022-01-14 23:18:35
BB221,UTC3000,RUNNING,R02BUA501,2200,084UCBU006,ABU084CC2004B,22-01-14 18:43,22-01-14 03:32,ICSI,FBGA-84UC(2),5552,,1091A07C21,E,P53OKA113,TSOP1-48A2,LAPIS,AOK048TV1029A,1091A07C41,365.9533,2022-01-14 18:43:09
BB222,UTC3000,WAIT-SETUP,,,,AAW024XJ6011B,,22-01-14 15:07,,,,,,,R02AWGG03,STBGA24A4L,MXIC,AAW024XJ6011B,1091A07T41,311.0338,
BB223,UTC3000,IDLE,,,,AAW024XJ6010B,,22-01-14 08:52,,,,,,,R02AWFP03,STBGA24A4L,MXIC,AAW024XJ6010B,1091A07T41,342.7166,
BB224,UTC3000,RUNNING,R02AWCH10,2200,048TPAW086,AAW048TP1041B,22-01-14 18:49,22-01-14 09:32,MXIC,TSOP1-48/M2,720,,1091A08T41,,R02AWCH04,TSOP1-48/M2,MXIC,AAW048TP1041B,1091A08T41,77.5263,2022-01-14 18:49:14
BB225,UTC3000,RUNNING,R02BUA701,2200,084UCBU006,ABU084CC2004B,22-01-14 21:10,22-01-14 05:59,ICSI,FBGA-84UC(2),5553,01/14/2022 MP,1091A07C21,E,R02BUAV01,FBGA-84UC(2),ICSI,ABU084CC2004B,1091A07C21,365.9533,2022-01-14 21:10:22
BB226,UTC3000,IDLE,,,,AAW024XJ6010B,,22-01-14 08:03,,,,01/15/2022 MP,,,R03AWAK02,STBGA24A4L,MXIC,AAW024XJ6010B,1091A07T41,342.7166,
BB227,UTC3000,ENG,,,,AAW056TH1015A,22-01-14 14:13,22-01-14 14:13,,,,01/16/2022 MP,,,R03AWAQ03,STBGA24A4L,MXIC,AAW024XJ6010B,1091A07T41,,
BB228,UTC3000,RUNNING,R02BUA601,2200,084UCBU006,ABU084CC2004B,22-01-15 03:45,22-01-14 12:40,ICSI,FBGA-84UC(2),5520,01/17/2022 MP,,,R02BUA502,FBGA-84UC(2),ICSI,ABU084CC2004B,1091A07C21,365.9533,2022-01-15 03:45:34
BB229,UTC3000,RUNNING,R02AWGC03,3200,024XJAW020,AAW024XJ6010B,22-01-14 20:11,22-01-14 07:42,MXIC,STBGA24A4L,4280,01/18/2022 MP,1091A07T41,,R02AWFQ01,STBGA24A4L,MXIC,AAW024XJ6010B,1091A07T41,342.7166,2022-01-14 20:11:44
BB230,UTC3000,RUNNING,R02AWGC04,3200,024XJAW020,AAW024XJ6010B,22-01-14 21:41,22-01-14 13:57,MXIC,STBGA24A4L,2636,01/19/2022 MP,1091A07T41,,R02AWFQ02,STBGA24A4L,MXIC,AAW024XJ6010B,1091A07T41,342.7166,2022-01-14 21:41:04
BB231,UTC3000,IDLE,,,,ANV345XTC011A,,22-01-14 11:51,,,,01/20/2022 MP,,,P51NVR801,STBGA345FBC,PHISON,ANV345XTC011A,1091A07C41,85.8659,
BB232,UTC3000,RUNNING,R02MSCZ03,2200,078EPMS004,AMS078EP1001A,22-01-15 09:37,22-01-14 12:15,MTI,FBGA-78UEP,5872,01/21/2022 MP,1091A06T21,,R02MSAY04,FBGA-78UEP,MTI,AMS078EP1001A,1091A06T21,274.7358,2022-01-15 09:37:40
BB233,UTC3000,IDLE,,,,AAW024XJ6011B,,22-01-14 09:29,,,,01/14/2022 MP,,,R02AWGG04,STBGA24A4L,MXIC,AAW024XJ6011B,1091A07T41,311.0338,
BB234,UTC3000,RUNNING,R02AWGC02,3200,024XJAW020,AAW024XJ6010B,22-01-14 16:11,22-01-14 03:52,MXIC,STBGA24A4L,4225,01/23/2022 MP,1091A07T41,,R02AWFP01,STBGA24A4L,MXIC,AAW024XJ6010B,1091A07T41,342.7166,2022-01-14 16:11:47
BB235,UTC3000,RUNNING,R02AWBG24,2200,048TPAW086,AAW048TP1041B,22-01-13 23:12,22-01-13 13:54,MXIC,TSOP1-48/M2,720,01/24/2022 MP,1091A08T41,,R02AWBN24,TSOP1-48/M2,MXIC,AAW048TP1041B,1091A08T41,77.5263,2022-01-13 23:12:05
BB441,UTC1000S,RUNNING,R02AWHA13,2200,048TPAW054,AAW048TP1026E,22-01-14 13:20,22-01-14 08:06,MXIC,TSOP1-48/48M,1983,,1091A08T41,4,R02AWH908,TSOP1-48/48M,MXIC,AAW048TP1026E,1091A08T41,379.4022,2022-01-14 13:20:38
BB442,UTC1000S,RUNNING,R01ABA204,2200,060NRAB010,AAB060NR1006A,22-01-14 13:20,22-01-13 22:41,WINBOND,VFBGA60B4L,5719,,,,R02AWG603,MBGA64J4U,MXIC,AAW064MR1012A,1091A08T41,390.6365,2022-01-14 13:20:10
BB443,UTC1000S,IDLE,,,,ABU078EA1001A,,22-01-14 11:27,,,,,,,R02BUBE04,FBGA-78LEA,ICSI,ABU078EA1001A,1091A07C21,300.7119,
BB444,UTC1000S,IDLE,,,,ABU078EA1001A,,22-01-13 23:03,,,,,,,R02BUBE02,FBGA-78LEA,ICSI,ABU078EA1001A,1091A07C21,300.7119,
BB445,UTC1000S,RUNNING,R02BUC603,2200,090NCBU014,ABU090NC8002B,22-01-15 01:33,22-01-14 09:37,ICSI,VFBGA90B4L,3525,,,,R02ABMP07,TSOP2-66ME,WINBOND,AAB066TN1003A,1091A07T21,221.4408,2022-01-15 01:33:33
BB446,UTC1000S,RUNNING,R02BUBA05,2200,096EABU001,ABU096EA1001A,22-01-14 16:32,22-01-14 09:19,ICSI,FBGA-96LEA,1623,,,,R02BUB501,FBGA-96LEA,ICSI,ABU096EA1001A,1091A07C21,225.8244,2022-01-14 16:32:59
BB447,UTC1000S,RUNNING,R02BUB603,2200,096EABU001,ABU096EA1001A,22-01-14 12:10,22-01-14 00:29,ICSI,FBGA-96LEA,2640,,,,R02BUB902,FBGA-96LEA,ICSI,ABU096EA1001A,1091A07C21,225.8244,2022-01-14 12:10:34
BB448,UTC1000S,RUNNING,R02BUC706,2200,054NBBU006,ABU054NB2004C,22-01-14 16:20,22-01-14 04:46,ICSI,VFBGA54B4,3959,,1091A07C21,,R02BUC703,VFBGA54B4,ICSI,ABU054NB2004C,1091A07C21,342.5228,2022-01-14 16:20:25
