bd_id,da_out,da_act
ENG,0.00,0.00
,0.00,0.00
ABW032YF1002B,0.00,0.00
,0.00,0.00
ANI008OK2001A,0.00,0.00
ANI008OK2001A,0.00,0.00
ANI008OK2001A,0.00,0.00
ANI008OK2001A,0.00,0.00
ANI008OK2001A,0.00,0.00
ANI008OK2001A,0.00,0.00
ANI008OK2001A,0.00,0.00
ANI008OK2001A,0.00,0.00
ANI008OK2001A,0.00,0.00
ANI008Y71001C,0.00,0.00
ANI008YZ1001D,0.00,0.00
ANI012Y11002C,0.00,0.00
ANI012Y11002C,0.00,0.00
ANI012Y11002C,0.00,0.00
ANI012Y32001B,0.00,0.00
ANI012Y32001B,0.00,0.00
ANI012Y32001B,0.00,0.00
ANI012Y32002D,0.00,0.00
ANI012Y32002D,0.00,0.00
ANI012Y32001B,0.00,0.00
ANI012Y32001B,0.00,0.00
ANI012Y32002D,0.00,0.00
ANI012Y32001B,0.00,0.00
ANI012Y32002D,0.00,0.00
ANI012Y32002D,0.00,0.00
ANI012Y32002D,0.00,0.00
ANI012Y32002D,0.00,0.00
ANI012Y32002D,0.00,0.00
ANI012Y32002D,0.00,0.00
ANI014OA1001C,0.00,0.00
ANI014OL1001C,0.00,0.00
ANI014OL1001C,0.00,0.00
ANI014OL1001C,0.00,0.00
ANI014OL1001C,0.00,0.00
ANI020YU1002B,0.00,0.00
ANI020YU1002B,0.00,0.00
ANI020YU1001M,0.00,0.00
ANI020YU1002B,0.00,0.00
ANI020YU1001M,0.00,0.00
ANI020YU1002B,0.00,0.00
ANI020YU1001M,0.00,0.00
ANI020YU1005C,0.00,0.00
ANI020YU1005C,0.00,0.00
ANI020YU1002B,0.00,0.00
ANI020YU1002B,0.00,0.00
ANI020YU1002B,0.00,0.00
ANI020YU1002B,0.00,0.00
ANI020YU1001M,0.00,0.00
ANI020YU1001M,0.00,0.00
ANI020YU1005C,0.00,0.00
ANI020YU1005C,0.00,0.00
ANI020YU1002B,0.00,0.00
ANI020YU1002B,0.00,0.00
ANI020YU1002B,0.00,0.00
ANI020YU1002B,0.00,0.00
ANI020YU1001M,0.00,0.00
ANI020YU1001M,0.00,0.00
ANI020YU1005C,0.00,0.00
ANI020YU1002B,0.00,0.00
ANI020YU1005C,0.00,0.00
,0.00,0.00
AHQ0442J3006A,0.00,0.00
AHQ0225N1001B,0.00,0.00
AHQ0225S1002A,0.00,0.00
AHQ0282J2006B,0.00,0.00
,0.00,0.00
,0.00,0.00
AAB008YD4001A,0.00,0.00
ABU008YM2012A,0.00,0.00
AAB008YQ2037A,0.00,0.00
ABW048LF1018A,0.00,0.00
ABW052AC1005A,0.00,0.00
AAS060NR2004A,0.00,0.00
ATF078EN1001B,0.00,0.00
ABU084CC2004B,0.00,0.00
ANV345XTB023B,0.00,0.00
ACD054TN1001A,0.00,0.00
ACD084CC2002A,0.00,0.00
AAS008YB3003A,0.00,0.00
AAS008YD2043A,0.00,0.00
AAS024MA0006A,0.00,0.00
AAS048MAB009A,0.00,0.00
AAS084CC2011A,0.00,0.00
AVE008YD2002A,0.00,0.00
,0.00,0.00
ABU048MA7004A,0.00,0.00
ABU048TG1002A,0.00,0.00
ABU084CC2001C,0.00,0.00
ABU090NC8002B,0.00,0.00
ABU096EA1002A,0.00,0.00
ABU096EA1001A,0.00,0.00
ABU200KX2002A,0.00,0.00
ABU200N74005A,0.00,0.00
ABU008YD2012A,0.00,0.00
ABU008YQ2009A,0.00,0.00
ABU024XJ6003A,0.00,0.00
ABU153XT9001A,40.05,0.00
,0.00,0.00
AOK036RP1001A,0.00,0.00
AOK048TV1029A,0.00,0.00
AIS048XW2001A,0.00,0.00
AMS048TW1063A,0.00,0.00
AMS078EN1001A,0.00,3.60
AMS096EF2001A,96.28,0.00
ALW096EF2001A,0.00,0.00
AAW008Y62016A,0.00,0.00
AAW008YQ3004A,0.00,0.00
AAW024MA6013C,33.68,0.00
AAW024MA6019B,0.00,0.00
AAW048TP1041B,13.22,0.00
AAW048TP1008B,239.20,2.16
AAW064MR1007A,0.00,0.00
,0.00,0.00
ANV0086A1082A,0.00,0.00
