assy_lot,hist_seq,skip_oper,maintain_time,maintain_user,valid_flag,wlot_oper,wlot_lot_number,wlot_crt_dat_al_1,pin_package,wlot_prod,wlot_crt_dat_al_3,wlot_qty_1,wlot_qty_2,wlot_oper,wlot_crte_category,wlot_hold,prod_type,cust_code,package_id,po_no,wlot_mvin_perfmd,wlot_deleted,wlot_actl_mvin_dt,wlot_actl_mvin_tm,wlot_dt_last_trans,wlot_tm_last_trans,assy_issue,bd_id,assy_group,wlot_hold_category,da_type,tape_no,mark_type,test_entity,package_id1,wlot_owner,wb_date,sp_date,pack_date,ship_date,due_date,wafer_size,urgent_code,note_4,heat_block,heat_block_qty,pb_free,sps_status,ship_to,md_no,swr_id,swr_ver,wlot_hold_note,wlot_assy_lot,assy_lot,hist_seq,skip_oper,maintain_time,maintain_user,valid_flag,
	RB1BUBU01  ,	2,	2460,	2022/3/14 上午 06:04:47,	WSM       ,	Y,	5060,	RB1BUBU01  ,	ChipMOS      ,	MAT            ,	0008WPRT005              ,	MRF717000Y1                                       ,	2640,	0,	5060,	A2,	N,	TSOP  ,	FQ,	6202CX-MAT                                        ,	C02PO-100555884          ,	N,	N,	0,	0,	20220314,	60447,	2022/3/13 上午 12:00:00,	,	,	      ,	M,	                         ,	          ,	               ,	6202CX-MAT                                        ,	PROD        ,	2022/3/17 上午 12:00:00,	2022/3/19 上午 12:00:00,	2022/3/20 上午 12:00:00,	2022/3/20 上午 12:00:00,	2022/3/20 上午 12:00:00,	,	,	 O I B C C                                                                      ,	                    ,	0,	Y3,	     ,	BUC6    ,	10819240H6               ,	,	,	                                   ,	RB1BUBU,	RB1BUBU01  ,	2,	2460,	2022/3/14 上午 06:04:47,	WSM       ,	Y,
	RB1BUBU05  ,	2,	2460,	2022/3/14 上午 07:51:58,	WSM       ,	Y,	5060,	RB1BUBU05  ,	ChipMOS      ,	MAT            ,	0008WPRT005              ,	MRF717000Y1                                       ,	976,	0,	5060,	A2,	N,	TSOP  ,	FQ,	6202CX-MAT                                        ,	C02PO-100555884          ,	N,	N,	0,	0,	20220314,	75158,	2022/3/13 上午 12:00:00,	,	,	      ,	M,	                         ,	          ,	               ,	6202CX-MAT                                        ,	PROD        ,	2022/3/17 上午 12:00:00,	2022/3/19 上午 12:00:00,	2022/3/20 上午 12:00:00,	2022/3/20 上午 12:00:00,	2022/3/20 上午 12:00:00,	,	,	 O I B C C                                                                      ,	                    ,	0,	Y3,	     ,	BUC6    ,	10819240H6               ,	,	,	                                   ,	RB1BUBU,	RB1BUBU05  ,	2,	2460,	2022/3/14 上午 07:51:58,	WSM       ,	Y,
	RB1BUBV04  ,	2,	2460,	2022/3/14 上午 05:37:14,	WSM       ,	Y,	5060,	RB1BUBV04  ,	ChipMOS      ,	MAT            ,	0008WPRT005              ,	MRF759000Y1                                       ,	2640,	0,	5060,	A2,	N,	TSOP  ,	FQ,	6202CX-MAT                                        ,	C02PO-100555886          ,	N,	N,	0,	0,	20220314,	53713,	2022/3/13 上午 12:00:00,	,	,	      ,	M,	                         ,	          ,	               ,	6202CX-MAT                                        ,	PROD        ,	2022/3/17 上午 12:00:00,	2022/3/19 上午 12:00:00,	2022/3/20 上午 12:00:00,	2022/3/21 上午 12:00:00,	2022/3/21 上午 12:00:00,	,	,	 F E B A B                                                                      ,	                    ,	0,	Y3,	     ,	BUC4    ,	10819240H6               ,	,	,	                                   ,	RB1BUBV,	RB1BUBV04  ,	2,	2460,	2022/3/14 上午 05:37:14,	WSM       ,	Y,
	RB2MSA801  ,	2,	2460,	2022/3/14 上午 06:23:47,	WSM       ,	Y,	5060,	RB2MSA801  ,	ChipMOS      ,	MAT            ,	0008WPRT001              ,	1053106.006                                       ,	5600,	0,	5060,	A2,	N,	TSOP  ,	FQ,	STECIL-MAT                                        ,	1371834                  ,	N,	N,	0,	0,	20220314,	62347,	2022/3/14 上午 12:00:00,	,	,	      ,	M,	                         ,	          ,	               ,	STECIL-MAT                                        ,	PROD        ,	2022/3/26 上午 12:00:00,	2022/4/1 上午 12:00:00,	2022/4/4 上午 12:00:00,	2022/4/4 上午 12:00:00,	2022/4/4 上午 12:00:00,	,	,	 U Y D L H                                                                      ,	                    ,	0,	Y3,	     ,	MS39    ,	1081G750V5               ,	,	,	                                   ,	RB2MSA8,	RB2MSA801  ,	2,	2460,	2022/3/14 上午 06:23:47,	WSM       ,	Y,
	RB2MSA805  ,	2,	2460,	2022/3/14 上午 07:13:14,	WSM       ,	Y,	5060,	RB2MSA805  ,	ChipMOS      ,	MAT            ,	0008WPRT001              ,	1053106.006                                       ,	5600,	0,	5060,	A2,	N,	TSOP  ,	FQ,	STECIL-MAT                                        ,	1371834                  ,	N,	N,	0,	0,	20220314,	71314,	2022/3/14 上午 12:00:00,	,	,	      ,	M,	                         ,	          ,	               ,	STECIL-MAT                                        ,	PROD        ,	2022/3/26 上午 12:00:00,	2022/4/1 上午 12:00:00,	2022/4/4 上午 12:00:00,	2022/4/4 上午 12:00:00,	2022/4/4 上午 12:00:00,	,	,	 U Y D L H                                                                      ,	                    ,	0,	Y3,	     ,	MS39    ,	1081G750V5               ,	,	,	                                   ,	RB2MSA8,	RB2MSA805  ,	2,	2460,	2022/3/14 上午 07:13:14,	WSM       ,	Y,
	RB2MSAA02  ,	2,	2460,	2022/3/14 上午 04:02:10,	WSM       ,	Y,	5060,	RB2MSAA02  ,	ChipMOS      ,	MAT            ,	0008WPRT001              ,	1039406.006                                       ,	5600,	0,	5060,	A2,	N,	TSOP  ,	FQ,	STECIL-MAT                                        ,	1371834                  ,	N,	N,	0,	0,	20220314,	40211,	2022/3/14 上午 12:00:00,	,	,	      ,	M,	                         ,	          ,	               ,	STECIL-MAT                                        ,	PROD        ,	2022/3/26 上午 12:00:00,	2022/4/1 上午 12:00:00,	2022/4/4 上午 12:00:00,	2022/4/4 上午 12:00:00,	2022/4/4 上午 12:00:00,	,	,	 U Y D L H                                                                      ,	                    ,	0,	Y3,	     ,	MS39    ,	1081G750V5               ,	,	,	                                   ,	RB2MSAA,	RB2MSAA02  ,	2,	2460,	2022/3/14 上午 04:02:10,	WSM       ,	Y,
	RB2MSAA06  ,	2,	2460,	2022/3/14 上午 05:38:51,	WSM       ,	Y,	5060,	RB2MSAA06  ,	ChipMOS      ,	MAT            ,	0008WPRT001              ,	1039406.006                                       ,	5600,	0,	5060,	A2,	N,	TSOP  ,	FQ,	STECIL-MAT                                        ,	1371834                  ,	N,	N,	0,	0,	20220314,	53850,	2022/3/14 上午 12:00:00,	,	,	      ,	M,	                         ,	          ,	               ,	STECIL-MAT                                        ,	PROD        ,	2022/3/26 上午 12:00:00,	2022/4/1 上午 12:00:00,	2022/4/4 上午 12:00:00,	2022/4/4 上午 12:00:00,	2022/4/4 上午 12:00:00,	,	,	 U Y D L H                                                                      ,	                    ,	0,	Y3,	     ,	MS39    ,	1081G750V5               ,	,	,	                                   ,	RB2MSAA,	RB2MSAA06  ,	2,	2460,	2022/3/14 上午 05:38:51,	WSM       ,	Y,
	RB2MSAE04  ,	2,	2460,	2022/3/14 上午 04:13:06,	WSM       ,	Y,	5060,	RB2MSAE04  ,	ChipMOS      ,	MAT            ,	0008WPRT001              ,	1049636.006                                       ,	5600,	0,	5060,	A2,	N,	TSOP  ,	FQ,	STECIL-MAT                                        ,	1371834                  ,	N,	N,	0,	0,	20220314,	41305,	2022/3/14 上午 12:00:00,	,	,	      ,	M,	                         ,	          ,	               ,	STECIL-MAT                                        ,	PROD        ,	2022/3/26 上午 12:00:00,	2022/4/1 上午 12:00:00,	2022/4/4 上午 12:00:00,	2022/4/4 上午 12:00:00,	2022/4/4 上午 12:00:00,	,	,	 U Y D L H                                                                      ,	                    ,	0,	Y3,	     ,	MS39    ,	1081G750V5               ,	,	,	                                   ,	RB2MSAE,	RB2MSAE04  ,	2,	2460,	2022/3/14 上午 04:13:06,	WSM       ,	Y,
	RB2MSAG02  ,	2,	2460,	2022/3/14 上午 06:05:32,	WSM       ,	Y,	5060,	RB2MSAG02  ,	ChipMOS      ,	MAT            ,	0008WPRT001              ,	1041896.006                                       ,	5600,	0,	5060,	A2,	N,	TSOP  ,	FQ,	STECIL-MAT                                        ,	1371834                  ,	N,	N,	0,	0,	20220314,	60531,	2022/3/14 上午 12:00:00,	,	,	      ,	M,	                         ,	          ,	               ,	STECIL-MAT                                        ,	PROD        ,	2022/3/26 上午 12:00:00,	2022/4/1 上午 12:00:00,	2022/4/4 上午 12:00:00,	2022/4/4 上午 12:00:00,	2022/4/4 上午 12:00:00,	,	,	 U Y D L H                                                                      ,	                    ,	0,	Y3,	     ,	MS39    ,	1081G750V5               ,	,	,	                                   ,	RB2MSAG,	RB2MSAG02  ,	2,	2460,	2022/3/14 上午 06:05:32,	WSM       ,	Y,
	RB2MSAG06  ,	2,	2460,	2022/3/14 上午 07:17:52,	WSM       ,	Y,	5060,	RB2MSAG06  ,	ChipMOS      ,	MAT            ,	0008WPRT001              ,	1041896.006                                       ,	5600,	0,	5060,	A2,	N,	TSOP  ,	FQ,	STECIL-MAT                                        ,	1371834                  ,	N,	N,	0,	0,	20220314,	71752,	2022/3/14 上午 12:00:00,	,	,	      ,	M,	                         ,	          ,	               ,	STECIL-MAT                                        ,	PROD        ,	2022/3/26 上午 12:00:00,	2022/4/1 上午 12:00:00,	2022/4/4 上午 12:00:00,	2022/4/4 上午 12:00:00,	2022/4/4 上午 12:00:00,	,	,	 U Y D L H                                                                      ,	                    ,	0,	Y3,	     ,	MS39    ,	1081G750V5               ,	,	,	                                   ,	RB2MSAG,	RB2MSAG06  ,	2,	2460,	2022/3/14 上午 07:17:52,	WSM       ,	Y,
	RB2MSAH07  ,	2,	2460,	2022/3/14 上午 02:40:38,	WSM       ,	Y,	5060,	RB2MSAH07  ,	ChipMOS      ,	MAT            ,	0008WPRT001              ,	1051986.006                                       ,	5600,	0,	5060,	A2,	N,	TSOP  ,	FQ,	STECIL-MAT                                        ,	1371834                  ,	N,	N,	0,	0,	20220314,	24038,	2022/3/14 上午 12:00:00,	,	,	      ,	M,	                         ,	          ,	               ,	STECIL-MAT                                        ,	PROD        ,	2022/3/26 上午 12:00:00,	2022/4/1 上午 12:00:00,	2022/4/4 上午 12:00:00,	2022/4/4 上午 12:00:00,	2022/4/4 上午 12:00:00,	,	,	 U Y D L H                                                                      ,	                    ,	0,	Y3,	     ,	MS39    ,	1081G750V5               ,	,	,	                                   ,	RB2MSAH,	RB2MSAH07  ,	2,	2460,	2022/3/14 上午 02:40:38,	WSM       ,	Y,
