bom_id,oper,part_id,qty
IA000039,3720,1011CA244A,0.008
IA000060,3720,1011CA265A,0.008
IA000097,3720,1011CA308A,0.008
IA000112,3720,1011CA312A,0.008
OA014603,2300,10819240H5,0.000
OA014603,2070,120100163A,0.000
OA014603,3720,1011CA296A,0.014
OA014603,2070,1241FAC26S,0.000
YU020603,2070,1071F76004,0.000
YU020603,2200,1091A08T41,0.000
YU020603,2300,108192HF36,0.000
YU020603,2070,120100185B,0.000
YU020603,3720,1011CA176A,0.014
Y3012604,2300,10819240H5,0.000
Y3012604,2070,120100155A,0.000
Y3012604,3720,1011CA295A,0.014
Y3012604,2070,1241FAC26S,0.000
OK008601,2300,10819240H5,0.000
OK008601,2070,120100022A,0.000
OK008601,3720,1011CA254A,0.014
OK008601,2070,1241FAC26S,0.000
Y7008602,2300,108192HF36,0.000
Y7008602,2070,120100009A,0.000
Y7008602,3720,1011CA180A,0.014
Y7008602,2070,1241FAC26S,0.000
IA000140,3720,1011CA349A,0.008
IA000031,3720,1011CA232B,0.008
IA000015,3720,1011CA201B,0.008
Y1012604,2070,120100158A,0.000
Y1012604,2070,1071P10764,0.000
Y1012604,2200,1091A08T41,0.000
Y1012604,2300,1081G700L1,0.000
Y1012604,3720,1011CA104A,0.014
YU020604,2070,1071F76004,0.000
YU020604,2200,1091A08T41,0.000
YU020604,2300,108192HF36,0.000
YU020604,2070,120100185B,0.000
YU020604,3720,1011CA176A,0.014
OL014602,2070,120100167A,0.000
OL014602,2300,108192HF36,0.000
OL014602,3720,1011CA296A,0.014
OL014602,2070,1241FAC26S,0.000
YU020611,2070,1071F76004,0.000
YU020611,2200,1091A08T41,0.000
YU020611,2300,108192HF36,0.000
YU020611,2070,120100185B,0.000
YU020611,3720,1011CA176A,0.014
Y3012603,2300,10819240H5,0.000
Y3012603,2070,120100153A,0.000
Y3012603,3720,1011CA295A,0.014
Y3012603,2070,1241FAC26S,0.000
IA000013,3720,1011CA190A,0.027
YK008646,2070,120101106A,0.000
YK008646,2070,1071P10764,0.000
YK008646,2200,1091A08T41,0.000
YK008646,2300,108192HF42,0.000
YK008646,2410,1011CA106A,0.014
IA000121,3720,1011CA326A,0.008
ED078018,2070,121101034A,1000.000
ED078018,2430,1010TR344A,5.238
ED078018,2070,1071P62022,3.419
ED078018,2200,1091A06C21,67.890
ED078018,2300,1081G77105,0.207
ED078018,2410,1101L73245,78.000
ED078017,2070,121101034A,1000.000
ED078017,2430,1010TR344A,5.238
ED078017,2070,1071P62022,3.419
ED078017,2200,1091A06C21,67.890
ED078017,2300,1081G77105,0.207
ED078017,2410,1101L73245,78.000
IA000122,3720,1011CA332A,0.008
YK010634,2070,120101109A,0.000
YK010634,2070,1071P10764,0.000
YK010634,2200,1091A08T41,0.000
YK010634,2300,108192HF42,0.000
YK010634,3720,1011CA106A,0.014
D5016050,2052,1221C20008,4000.000
D5016050,2052,1221C20005,2000.000
D5016050,2070,121101809A,1000.000
D5016050,2430,1011TR588B,11.224
D5016050,2070,1071F76004,0.082
D5016050,2130,1071F76004,0.951
D5016050,2200,1091A07T41,214.964
D5016050,2300,1081G1250B,0.471
D5016050,2052,1101T70525,8.680
D5016050,2052,SUBMATSAW016,1000.000
D5016050,2070,SUBMATWAW097,1000.000
D5016050,2130,SUBMATWAW098,1000.000
IA000050,3720,1011CA246A,0.016
2J028035,2300,1081A381C1,0.203
IA000090,3720,1011CA235A,0.008
IA000065,3720,1011CA270A,0.016
IA000064,3720,1011CA273A,0.008
IA000158,3720,1011CA358A,0.016
6A008190,2052,1221C20040,6000.000
6A008190,2070,121101916A,1000.000
6A008190,2434,1011TR727A,9.167
6A008190,2070,1071F350L1,0.040
6A008190,2130,1071F76001,1.008
6A008190,2200,1091A06C41,78.844
6A008190,2300,1081E770A1,0.297
6A008190,2052,1101T70525,8.680
6A008190,2070,SUBMATWNV419,1000.000
6A008190,2130,SUBMATWNV199,1000.000
6A008190,2052,SUBMATSNV295,1000.000
IA000017,3720,1011CA203B,0.016
IA000E14,3720,1011CA363A,0.008
Y6008080,2070,120101055A,1000.000
Y6008080,2070,1071F76004,0.070
Y6008080,2200,1091G08PA4,11.480
Y6008080,2300,10819240HD,0.101
Y6008080,2410,1231BAS00A,0.070
FG008023,2070,120101094A,1000.000
FG008023,2430,1011TU092A,11.957
FG008023,2070,1071F76001,0.084
FG008023,2200,1091G08PA4,22.254
FG008023,2300,1081631LV1,0.137
FG008023,2410,1231BAS00A,0.070
FG008005,2070,120101094A,1000.000
FG008005,2430,1011TU092A,12.222
FG008005,2070,1071F76001,0.113
FG008005,2200,1091G08PA4,21.660
FG008005,2300,1081631LV1,0.137
FG008005,2410,1231BAS00A,0.070
YQ008170,2070,120101061A,1000.000
YQ008170,2430,1011TR011A,2.344
YQ008170,2070,1071F76004,0.707
YQ008170,2200,1091A07T21,10.490
YQ008170,2300,108192HF4A,0.130
YQ008170,2410,1231BAS00A,0.070
MA024095,2070,1071F76004,0.669
MA024095,2200,1091A07T41,29.200
MA024095,2300,108112500B,0.144
MA024095,2410,1101L70540,24.000
MA024095,2430,1011TR347A,2.292
MA024095,2070,121100193A,1000.000
FG008027,2070,120101094A,1000.000
FG008027,2430,1011TU092A,11.957
FG008027,2070,1071F76004,0.142
FG008027,2200,1091G08PA4,23.394
FG008027,2300,1081631LV1,0.137
FG008027,2410,1231BAS00A,0.070
MR064035,2070,1071P20251,1.205
MR064035,2200,1091A07T41,74.000
MR064035,2300,1081G1250B,0.335
MR064035,2410,1101L70560,64.000
MR064035,2430,1011TR035A,7.640
MR064035,2070,121100947A,1000.000
YM008121,2070,120100069A,1000.000
YM008121,2070,1071F76004,0.084
YM008121,2200,1091A07T41,11.790
YM008121,2300,1081G700L1,0.018
YM008121,2410,1231BAS00A,0.070
YM008120,2070,120100069A,1000.000
YM008120,2070,1071F76004,0.037
YM008120,2200,1091A07T41,11.080
YM008120,2300,1081G700L1,0.018
YM008120,2410,1231BAS00A,0.070
NR060015,2200,1091A07T21,104.680
NR060015,2410,1101L70542,60.000
NR060015,2300,1081G77104,0.156
NR060015,2430,1010TR010A,3.704
NR060015,2070,1071F76005,0.806
NR060015,2070,121100827A,1000.000
MA024266,2070,121101906A,1000.000
MA024266,2430,1011TR076A,2.292
MA024266,2070,1071F350L1,0.064
MA024266,2200,1091A07T21,32.984
MA024266,2300,1081760LB7,0.099
MA024266,2410,1101L70540,24.000
YQ008124,2070,120100128A,1000.000
YQ008124,2430,1011TR347A,2.292
YQ008124,2070,1071F76004,0.394
YQ008124,2200,1091A07C41,25.100
YQ008124,2300,108192HF42,0.130
YQ008124,2410,1231BAS00A,0.070
CC084007,2070,1071P62001,2.445
CC084007,2200,1091A08T21,62.660
CC084007,2410,1101L70545,84.000
CC084007,2070,121101072A,1000.000
CC084007,2430,1011TR097A,5.383
CC084007,2300,108117HFU8,0.220
Y3012002,2410,1231BAS00A,0.070
Y3012002,2300,10819240H5,0.008
Y3012002,2070,120100153A,1000.000
Y3012002,2070,1241FAC26S,0.083
YQ008235,2070,120101143A,1000.000
YQ008235,2430,1011TR347A,2.292
YQ008235,2070,1071F76004,0.709
YQ008235,2200,1091A07T41,11.958
YQ008235,2300,108192HF4B,0.117
YQ008235,2410,1231BAS00A,0.070
D5016027,2052,1221C20008,6000.000
D5016027,2070,121100049B,1000.000
D5016027,2430,1011TR588B,11.224
D5016027,2070,1071F76004,0.075
D5016027,2130,1071F76004,1.483
D5016027,2200,1091A08T41,239.850
D5016027,2300,1081G1250B,0.471
D5016027,2052,1101T70525,8.680
D5016027,2070,SUBMATWAW088,1000.000
D5016027,2130,SUBMATWAW058,1000.000
D5016027,2052,SUBMATSAW007,1000.000
IA000143,2021,1071FC86R3,0.139
IA000143,3720,1011CA350A,0.016
EI096025,2070,121101963A,1000.000
EI096025,2070,1071P62022,2.948
EI096025,2200,1091A07T21,83.618
EI096025,2300,108117HFU8,0.222
EI096025,2410,1101L70545,96.000
EI096025,2430,1011TR733A,5.263
XT345091,2052,1221C20016,5000.000
XT345091,2052,1221R20006,1000.000
XT345091,2052,1221R20005,1000.000
XT345091,2052,1221I20010,1000.000
XT345091,2070,121102136A,1000.000
XT345091,2430,1011TR755A,7.237
XT345091,2070,1071F350L2,0.011
XT345091,2130,1071F76004,0.317
XT345091,3130,1071F76004,0.132
XT345091,3330,1071F76004,0.828
XT345091,4130,1071F310JB,1.008
XT345091,4330,1071F76001,3.024
XT345091,4530,1071F76001,1.008
XT345091,4730,1071F76001,3.024
XT345091,2200,1091A07C41,267.912
XT345091,3200,1091A08C41,244.214
XT345091,3400,1091A08C41,194.584
XT345091,2300,1081GE100C,0.358
XT345091,2052,1101T70525,8.680
XT345091,2410,1101L70528,345.000
XT345091,2070,SUBMATWNV022,1000.000
XT345091,2130,SUBMATWNV157,1000.000
XT345091,3130,SUBMATWNV220,1000.000
XT345091,3330,SUBMATWNV221,1000.000
XT345091,4130,SUBMATWNV390,1000.000
XT345091,4330,SUBMATWNV391,3000.000
XT345091,4530,SUBMATWNV392,1000.000
XT345091,4730,SUBMATWNV391,3000.000
XT345091,2052,SUBMATSNV392,1000.000
OK008001,2410,1231BAS00A,0.070
OK008001,2300,10819240H5,0.004
OK008001,2070,120100022A,1000.000
OK008001,2070,1241FAC26S,0.083
DN012025,2070,121100034A,1000.000
DN012025,2070,1071F350L2,0.042
DN012025,2200,1091A07C41,10.980
DN012025,2300,10819740Z2,0.009
IA000114,3720,1011CA310A,0.016
6A008193,2052,1221C20040,6000.000
6A008193,2070,121101916A,1000.000
6A008193,2434,1011TR727A,9.167
6A008193,2070,1071F350L1,0.040
6A008193,2130,1071F76001,1.008
6A008193,2200,1091A06C41,78.844
6A008193,2300,1081E770A1,0.297
6A008193,2052,1101T70525,8.680
6A008193,2070,SUBMATWNV419,1000.000
6A008193,2130,SUBMATWNV198,1000.000
6A008193,2052,SUBMATSNV298,1000.000
6A008192,2052,1221C20040,6000.000
6A008192,2070,121101916A,1000.000
6A008192,2434,1011TR727A,9.167
6A008192,2070,1071F350L1,0.040
6A008192,2130,1071F76001,1.008
6A008192,2200,1091A06C41,78.844
6A008192,2300,1081E770A1,0.297
6A008192,2052,1101T70525,8.680
6A008192,2070,SUBMATWNV419,1000.000
6A008192,2130,SUBMATWNV196,1000.000
6A008192,2052,SUBMATSNV297,1000.000
6A008191,2052,1221C20040,6000.000
6A008191,2070,121101916A,1000.000
6A008191,2434,1011TR727A,9.167
6A008191,2070,1071F350L1,0.040
6A008191,2130,1071F76001,1.008
6A008191,2200,1091A06C41,78.844
6A008191,2300,1081E770A1,0.297
6A008191,2052,1101T70525,8.680
6A008191,2052,SUBMATSNV296,1000.000
6A008191,2070,SUBMATWNV419,1000.000
6A008191,2130,SUBMATWNV207,1000.000
XZ048017,2410,1101L70535,48.000
XZ048017,2070,121101867A,1000.000
XZ048017,2430,1011TR393A,5.978
XZ048017,2070,1071P20254,2.189
XZ048017,2130,1071F76004,2.643
XZ048017,2200,1091A07C21,48.834
XZ048017,2070,SUBMATWVE018,1000.000
XZ048017,2130,SUBMATWVE019,1000.000
XZ048017,3130,SUBMATWVE020,1000.000
XZ048017,3130,1071P550E1,1.799
XZ048017,2300,1081760LB3,0.273
IA000038,2021,1071F28502,0.059
IA000038,3720,1011CA255A,0.016
IA000025,3720,1011CA218B,0.004
MA024063,2070,1071P20251,0.427
MA024063,2200,1091A07T21,12.810
MA024063,2300,1081125005,0.111
MA024063,2410,1101L03440,24.000
MA024063,2430,1011TR076A,2.344
MA024063,2070,121100148A,1000.000
MA024197,2070,121100211A,1000.000
MA024197,2430,1011TR076A,2.292
MA024197,2070,1071F76004,0.700
MA024197,2200,1091A07T21,9.992
