ENTITY,MODEL,STATUS,LOT#,OPER,PRODUCT,BOND ID,OUTPLAN,IN TIME,CUST,PIN_PKG,WIP,PM,Lot Part Id,Lot Urgent Code,Last Wip Lot,Last Pin Package,Last Cust,Last bd id,Last Part ID,G.UPH,wip_outplan_time,SETTING OPER
BB211,UTC3000,RUNNING,R10BUBE03,2200,096EABU001,ABU096EA1001A,22-03-14 15:47,22-03-14 05:04,ICSI,FBGA-96LEA,2600,,,,R10BUBD02,FBGA-96LEA,ICSI,ABU096EA1001A,1091A07C21,242.8889,22-03-14 15:47,2200
BB212,UTC3000,RUNNING,R09NVJ123A,3400,345XTNV080,ANV345XTG002A,22-03-14 05:11,22-03-13 19:03,PHISON,STBGA345NBC,700,,1091A07C41,P,R09NVJ123,STBGA345NBC,PHISON,ANV345XTG002A,1091A07C41,69.5439,22-03-14 05:11,3400
BB213,UTC3000,IDLE,,,,ANV345XTB023B,,22-03-13 19:41,,,,,,,R08NVHP01,STBGA345SBC,PHISON,ANV345XTB023B,1091A07C41,66.1572,,2200
BB214,UTC3000,SETUP,,,,ABU024XJ6003A,22-03-14 09:04,22-03-14 07:40,,,,,,,R09VGDH01,STBGA24D4U,ISSI-VG,ABU024XJ8004A,1091A07T41,432.3776,,2200
BB215,UTC3000,RUNNING,R11MSLE06,2200,078ENMS009,AMS078EN1001A,22-03-14 10:55,22-03-13 20:47,MTI,FBGA-78UEN,3600,,1091A06T21,,R11MSL701,FBGA-78UEN,MTI,AMS078EN1001A,1091A06T21,254.6119,22-03-14 10:55,2200
BB216,UTC3000,RUNNING,R10AWEB28,2200,048TPAW103,AAW048TP1008B,22-03-14 15:20,22-03-14 04:45,MXIC,TSOP1-48/M2,720,,,,R10AWE630,TSOP1-48/M2,MXIC,AAW048TP1008B,1091A08T41,68.0197,22-03-14 15:20,2200
BB217,UTC3000,RUNNING,R11ABBY09,3200,162KEAB011,AAB162KE1006A,22-03-15 16:06,22-03-13 16:52,WINBOND,STBGA162B4U,4989,,1091A07T21,4,R10ABGR11,STBGA162B4U,WINBOND,AAB162KE1006A,1091A07T21,412.5821,22-03-15 16:06,3200
BB218,UTC3000,RUNNING,R10AWEB37,2200,048TPAW103,AAW048TP1008B,22-03-14 10:39,22-03-14 00:04,MXIC,TSOP1-48/M2,720,,,,R10AWDZ12,TSOP1-48/M2,MXIC,AAW048TP1008B,1091A08T41,68.0197,22-03-14 10:39,2200
BB219,UTC3000,RUNNING,R10AWEB31,2200,048TPAW103,AAW048TP1008B,22-03-14 15:36,22-03-14 05:01,MXIC,TSOP1-48/M2,720,,,,R10AWEG28,TSOP1-48/M2,MXIC,AAW048TP1008B,1091A08T41,68.0197,22-03-14 15:36,2200
BB220,UTC3000,RUNNING,R11ABBZ02,3200,162KEAB011,AAB162KE1006A,22-03-14 22:58,22-03-13 16:51,WINBOND,STBGA162B4U,3178,,1091A07T21,4,R11ABBY05,STBGA162B4U,WINBOND,AAB162KE1006A,1091A07T21,412.5821,22-03-14 22:58,3200
