CAN_RUN_MODELS,PROCESS_TIME,amount_of_tools,amount_of_wires,automotive,bom_id,code,customer,dest_oper,fcst_time,hold,is_sub_lot,log,lot_number,lot_size,mvin,oper,package_id,part_id,part_no,pin_package,prescheduled_machine,prescheduled_order,process_id,prod_id,qty,queue_time,recipe,route,uphs,urgent_code,wb_location
"MAXUM,MAXUM-PLUS,RAPID","396.053147,416.623280,341.034191",62,141,N,6A008252,,PHISON,2200,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Lot finishes traversing the route,R08NVHT01,1600,N,2090,PC51S2910L-00000-01835{K-OT-BIN22-125},1091A06C41,A0803CB1212,uSD08AQV-C,,-1,0086A183,0086ANV221,1487,0.000000,ANV0086A1075A,MBGA558,"225.272797,214.150299,261.615997",4P,N2WB TB
"MAXUM,MAXUM-PLUS,RAPID","423.486552,445.481517,364.656600",62,141,N,6A008252,,PHISON,2200,0.000000,N,Y,"Add queue time + -37.000000 for the reason : DA Queue Time||Pass the station(2140), add cure time : 0||Add cure time + 0.000000 for cure station : 2140||Add queue time + 120.000000 for(2140->2150)||Add queue time + 30.000000 for(2150->2200)||Lot finishes traversing the route",R08NVHT06,1600,Y,2130,PC51S2910L-00000-01835{K-OT-BIN22-125},1091A06C41,A0803CB1212,uSD08AQV-C,,-1,0086A183,0086ANV221,1590,113.000000,ANV0086A1075A,MBGA558,"225.272797,214.150299,261.615997",4P,
"MAXUM,MAXUM-PLUS,RAPID","412.832803,434.274434,355.482849",62,141,N,6A008252,,PHISON,2200,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 30.000000 for(2150->2200)||Lot finishes traversing the route,R08NVHT04,1600,N,2150,PC51S2910L-00000-01835{K-OT-BIN22-125},1091A06C41,A0803CB1212,uSD08AQV-C,,-1,0086A183,0086ANV221,1550,30.000000,ANV0086A1075A,MBGA558,"225.272797,214.150299,261.615997",4P,
"MAXUM,MAXUM-PLUS,RAPID","413.898178,435.395143,356.400224",62,141,N,6A008252,,PHISON,2200,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 30.000000 for(2150->2200)||Lot finishes traversing the route,R08NVHT02,1600,N,2150,PC51S2910L-00000-01835{K-OT-BIN22-125},1091A06C41,A0803CB1212,uSD08AQV-C,,-1,0086A183,0086ANV221,1554,30.000000,ANV0086A1075A,MBGA558,"225.272797,214.150299,261.615997",4P,N2B11-2
"MAXUM,MAXUM-PLUS,RAPID","419.757740,441.559038,361.445787",62,141,N,6A008252,,PHISON,2200,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 30.000000 for(2150->2200)||Lot finishes traversing the route,R08NVHT03,1600,N,2150,PC51S2910L-00000-01835{K-OT-BIN22-125},1091A06C41,A0803CB1212,uSD08AQV-C,,-1,0086A183,0086ANV221,1576,30.000000,ANV0086A1075A,MBGA558,"225.272797,214.150299,261.615997",4P,
RAPID,698.631068,62,141,N,6A008254,,PHISON,2200,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 30.000000 for(2150->2200)||Lot finishes traversing the route,R08NVHU04,1600,N,2150,PC51S2910L-00000-01835{K-OT-BIN22-250},1091A06C41,A0803CB1212,uSD08AQV-C,,-1,0086A185,0086ANV223,2072,30.000000,ANV0086A1061A,MBGA558,177.947998,4P,
"MAXUM,MAXUM-PLUS","522.789999,598.389988",21,118,N,FG008013,,EliteMT,2200,0.000000,N,Y,"Add queue time + -1554.000000 for the reason : DA Queue Time||Pass the station(2080), add cure time : 0||Add cure time + 0.000000 for cure station : 2080||Add queue time + 120.000000 for(2080->2150)||Add queue time + 30.000000 for(2150->2200)||Lot finishes traversing the route",R11ASAQ10,10080,Y,2070,EN25QH32BBS1HM{M68FA}{FT4},1091G08PA4,A0803CB1278,SOP-8G,,-1,008FG013,008FGAS025,10080,-1404.000000,AAS008FG1011A,CON132,"1156.869873,1010.712097",,
"MAXUM,MAXUM-PLUS","522.789999,598.389988",21,118,N,FG008013,,EliteMT,2200,0.000000,N,Y,"Add queue time + -1506.000000 for the reason : DA Queue Time||Pass the station(2080), add cure time : 0||Add cure time + 0.000000 for cure station : 2080||Add queue time + 120.000000 for(2080->2150)||Add queue time + 30.000000 for(2150->2200)||Lot finishes traversing the route",R11ASAQ14,10080,Y,2070,EN25QH32BBS1HM{M68FA}{FT4},1091G08PA4,A0803CB1278,SOP-8G,,-1,008FG013,008FGAS025,10080,-1356.000000,AAS008FG1011A,CON132,"1156.869873,1010.712097",,
"MAXUM,MAXUM-PLUS","522.789999,598.389988",21,118,N,FG008013,,EliteMT,2200,0.000000,N,Y,"Add queue time + -1196.000000 for the reason : DA Queue Time||Pass the station(2080), add cure time : 0||Add cure time + 0.000000 for cure station : 2080||Add queue time + 120.000000 for(2080->2150)||Add queue time + 30.000000 for(2150->2200)||Lot finishes traversing the route",R11ASAR06,10080,Y,2070,EN25QH32BBS1HM{M68FA}{FT4},1091G08PA4,A0803CB1278,SOP-8G,,-1,008FG013,008FGAS025,10080,-1046.000000,AAS008FG1011A,CON132,"1156.869873,1010.712097",,
"MAXUM,MAXUM-PLUS","522.789999,598.389988",21,118,N,FG008013,,EliteMT,2200,0.000000,N,Y,"Add queue time + -1134.000000 for the reason : DA Queue Time||Pass the station(2080), add cure time : 0||Add cure time + 0.000000 for cure station : 2080||Add queue time + 120.000000 for(2080->2150)||Add queue time + 30.000000 for(2150->2200)||Lot finishes traversing the route",R11ASAR10,10080,Y,2070,EN25QH32BBS1HM{M68FA}{FT4},1091G08PA4,A0803CB1278,SOP-8G,,-1,008FG013,008FGAS025,10080,-984.000000,AAS008FG1011A,CON132,"1156.869873,1010.712097",,
"MAXUM,MAXUM-PLUS","522.789999,598.389988",21,118,N,FG008013,,EliteMT,2200,0.000000,N,Y,"Add queue time + -1071.000000 for the reason : DA Queue Time||Pass the station(2080), add cure time : 0||Add cure time + 0.000000 for cure station : 2080||Add queue time + 120.000000 for(2080->2150)||Add queue time + 30.000000 for(2150->2200)||Lot finishes traversing the route",R11ASAR14,10080,Y,2070,EN25QH32BBS1HM{M68FA}{FT4},1091G08PA4,A0803CB1278,SOP-8G,,-1,008FG013,008FGAS025,10080,-921.000000,AAS008FG1011A,CON132,"1156.869873,1010.712097",,
"MAXUM,MAXUM-PLUS","522.789999,598.389988",21,118,N,FG008013,,EliteMT,2200,0.000000,N,Y,"Add queue time + -1589.000000 for the reason : DA Queue Time||Pass the station(2080), add cure time : 0||Add cure time + 0.000000 for cure station : 2080||Add queue time + 120.000000 for(2080->2150)||Add queue time + 30.000000 for(2150->2200)||Lot finishes traversing the route",R11ASAQ07,10080,Y,2070,EN25QH32BBS1HM{M68FA}{FT4},1091G08PA4,A0803CB1278,SOP-8G,,-1,008FG013,008FGAS025,10080,-1439.000000,AAS008FG1011A,CON132,"1156.869873,1010.712097",,
