,Unnamed: 0,bd_id_1,bd_id_2,end_time,entity,jobcode,lot_num_1,lot_num_2,number,start_time,start_time_trans,end_time_trans,CR,start_time_adj,end_time_adj
0,0,ABU096EA1001A,AAW048TP1008B,2781.375922,BB211,"CWN,SC",R11BUA404,R11AWAD16,BB211_4,2661.375922,2022-03-16 04:26:22,2022-03-16 06:26:22,7066.56,2022-03-16 04:26:22,2022-03-16 06:26:22
1,1,ANV345XTG002A,AMS096EF2001A,-54.0,BB212,"CWN,SC",R09NVJ123A,R11MSNI01,BB212_1,-174.0,2022-03-14 05:11:00,2022-03-14 07:11:00,,2022-03-14 05:11:00,2022-03-14 07:11:00
2,2,AMS096EF2001A,AAW048TP1008B,2018.848861,BB212,"CWN,SC",R11MSNI01,R11AWAD04,BB212_2,1898.848861,2022-03-15 15:43:50,2022-03-15 17:43:50,7066.56,2022-03-15 15:43:50,2022-03-15 17:43:50
3,3,AAW048TP1008B,ABU096EA3001A,7207.027706,BB212,"CWN,SC",R11AWAD39,R10BUAB02,BB212_9,7087.027706,2022-03-19 06:12:01,2022-03-19 08:12:01,7094.39,2022-03-19 06:12:01,2022-03-19 08:12:01
4,4,ANV345XTB023B,AMS078EN1001A,120.0,BB213,"CWN,SC",,R11MSLY04,BB213_1,0.0,2022-03-14 08:05:00,2022-03-14 10:05:00,7065.34,2022-03-14 08:05:00,2022-03-14 10:05:00
5,5,AMS078EN1001A,AAW048TP1008B,1201.74612,BB213,"CWN,SC",R11MSLY04,R11AWAF18,BB213_2,1081.74612,2022-03-15 02:06:44,2022-03-15 04:06:44,7066.56,2022-03-15 02:06:44,2022-03-15 04:06:44
6,6,AAW048TP1008B,AAW048TP1041B,5335.261241,BB213,MC,R11AWA526,R10AWE832,BB213_8,5251.261241,2022-03-17 23:36:15,2022-03-18 01:00:15,7067.01,2022-03-17 23:36:15,2022-03-18 01:00:15
7,7,ABU024XJ6003A,AOK048TV1029A,173.0,BB214,"CWN,MC",,R10OKJ216,BB214_2,59.0,2022-03-14 09:04:00,2022-03-14 10:58:00,7064.97,2022-03-14 09:04:00,2022-03-14 10:58:00
8,8,AOK048TV1029A,AAW048TP1041B,2315.488732,BB214,"CWN,MC",R10OKJ216,R10AWE821,BB214_3,2201.488732,2022-03-15 20:46:29,2022-03-15 22:40:29,7067.01,2022-03-15 20:46:29,2022-03-15 22:40:29
9,9,AMS078EN1001A,AAW048TP1008B,2643.054265,BB215,"CWN,SC",R11MSM208,R11AWAD32,BB215_4,2523.054265,2022-03-16 02:08:03,2022-03-16 04:08:03,7066.56,2022-03-16 02:08:03,2022-03-16 04:08:03
10,10,AAW048TP1008B,AOK048TV1029A,4205.105363,BB215,"CWN,MC",R11AWA810,R10OKJ312,BB215_6,4091.105363,2022-03-17 04:16:06,2022-03-17 06:10:06,7065.06,2022-03-17 04:16:06,2022-03-17 06:10:06
11,11,AAB162KE1006A,AAW048TP1008B,2005.0,BB217,MC,R11ABBY09,R11AWAF10,BB217_1,1921.0,2022-03-15 16:06:00,2022-03-15 17:30:00,7066.56,2022-03-15 16:06:00,2022-03-15 17:30:00
12,12,AAW048TP1008B,AAW048TP1041B,2961.140538,BB218,MC,R11AWAD38,R10AWEF05,BB218_5,2877.140538,2022-03-16 08:02:08,2022-03-16 09:26:08,7067.01,2022-03-16 08:02:08,2022-03-16 09:26:08
13,13,AAB162KE1006A,AAW048TP1041B,977.0,BB220,MC,R11ABBZ02,R10AWEF22,BB220_1,893.0,2022-03-14 22:58:00,2022-03-15 00:22:00,7067.01,2022-03-14 22:58:00,2022-03-15 00:22:00
14,14,AAW048TP1041B,AAW048TP1008B,1732.242504,BB220,MC,R10AWEF22,R11AWAI28,BB220_2,1648.242504,2022-03-15 11:33:14,2022-03-15 12:57:14,7065.99,2022-03-15 11:33:14,2022-03-15 12:57:14
15,15,ALW078ED2001A,AAW048TP1008B,2289.022321,BB221,"CWN,SC",P39LWA502,R11AWAA37,BB221_2,2169.022321,2022-03-15 20:14:01,2022-03-15 22:14:01,7065.99,2022-03-15 20:14:01,2022-03-15 22:14:01
16,16,AAW048TP1008B,AOK048TV1029A,3851.07342,BB221,"CWN,MC",R11AWA516,R10OKJ402,BB221_4,3737.07342,2022-03-16 22:22:04,2022-03-17 00:16:04,7065.06,2022-03-16 22:22:04,2022-03-17 00:16:04
17,17,AOK048TV1029A,AAW048TP1041B,4691.044451,BB221,"CWN,MC",R10OKJ402,R10AWEC14,BB221_5,4577.044451,2022-03-17 12:22:02,2022-03-17 14:16:02,7067.01,2022-03-17 12:22:02,2022-03-17 14:16:02
