,bd_id,oper,Location,Output plan,Original ENT(07:30),Original ENT(11:00),Allocate ENT
0,AAB008YB2003A,2200,TB-P,0.0,1.0,0.0,0.0
1,AAB008YB2004A,2200,TB-P,69.706,3.0,3.0,3.0
2,AAB008YB2009A,2200,TB-P,0.0,1.0,0.0,0.0
3,AAB008YD2005A,2200,TB-U,73.92,7.0,7.0,7.0
4,AAB008YD2006A,2200,TB-U,77.302,3.0,3.0,3.0
5,AAB008YD2007A,2200,TB-U,0.0,1.0,0.0,1.0
6,AAB008YM2018A,2200,TB-I,16.0,0.0,0.0,1.0
7,AAB008YM2018A,2200,TB-P,32.0,0.0,0.0,2.0
8,AAB008YM2018A,2200,TB-U,128.0,4.0,4.0,5.5
9,AAB008YM2023A,2200,TB-U,0.0,2.0,0.0,0.5
10,AAB008YQ2019A,2200,TB-U,17.883,1.0,1.0,1.0
11,AAB008YQ2032A,2200,TB-P,75.681,5.0,3.0,3.0
12,AAB008YQ2033A,2200,TB-U,0.0,0.0,0.0,1.0
13,AAB008YQ2038A,2200,TB-U,0.0,0.0,0.0,1.0
14,AAB008YQ3004A,2200,TB-U,126.838,15.0,15.0,15.0
15,AAB008YQ3021A,2200,TB-U,0.0,5.0,0.0,0.0
16,AAB024MA6024B,2200,TA-1,13.416,1.0,1.0,0.0
17,AAB024MAA004A,2200,TA-1,0.0,1.0,0.0,0.0
18,AAB048TW2002A,2200,TA-P,0.0,1.0,0.0,0.0
19,AAB048TW2005A,2200,TA-1,8.64,1.0,1.0,1.0
20,AAB048TW2009A,2200,TA-2,4.531,1.0,1.0,1.0
21,AAB054NB2003A,2200,TA-1,15.974,2.0,2.0,1.0
22,AAB054NB6004A,2200,TA-2,0.0,1.0,0.0,0.0
23,AAB054TN1004A,2200,TA-1,24.432,4.0,4.0,4.0
24,AAB054TN1004A,2200,TA-2,11.52,2.0,2.0,0.0
25,AAB054TN1004A,2200,TA-5,11.52,4.0,4.0,4.0
26,AAB054TN1005A,2200,TA-2,66.091,10.0,10.0,10.833333333333332
27,AAB054TN1005A,2200,TA-5,28.799,12.0,12.0,12.0
28,AAB054TN1005A,2200,TA-P,15.253,4.0,4.0,4.0
29,AAB054TS1003A,2200,TA-1,27.359,5.0,5.0,6.0
30,AAB060EM2002A,2200,TA-1,45.981,7.0,7.0,7.0
31,AAB060NR1007A,2200,TA-1,67.509,8.0,8.0,7.0
32,AAB066TN1001A,2200,TA-2,35.447,6.0,6.0,6.0
33,AAB066TN1001A,2200,TA-P,2.88,1.0,1.0,1.0
34,AAB084CC9002A,2200,TA-5,10.783,7.0,4.0,4.0
35,AAB090NC7003A,2200,TA-1,10.64,2.0,2.0,2.0
36,AAB096EF3001A,2200,TA-1,14.004,2.0,2.0,3.0
37,AAB096EL1017A,2200,TA-1,26.535,3.0,3.0,5.5
38,AAB162KE1006A,2200,TA-2,59.971,5.0,6.0,2.5
39,AAB162KE1006A,3200,TA-2,6.276,10.0,5.0,3.0
40,AAB162KE1006A,3200,TA-3,6.239,5.0,2.0,1.0
41,AAB162KE1006A,3200,TA-5,0.0,1.0,0.0,0.0
42,AAB178NN2001A,2200,TA-1,62.745,22.0,22.0,22.0
43,AAS008FG1011A,2200,TB-P,34.286,0.0,3.0,0.0
44,AAS008FG1011A,2200,TB-U,161.28,7.0,7.0,7.0
45,AAS008YQ2014A,2200,TB-P,0.0,0.0,0.0,3.0
46,AAS008YQ2016A,2200,TB-U,34.102,3.0,3.0,2.0
47,AAS0484A1001A,2200,TB-U,17.424,1.0,1.0,1.0
48,AAS063NW3012A,2200,TB-U,5.96,0.0,1.0,0.0
49,AAS084CC2015B,2200,TB-U,0.0,2.0,0.0,0.0
50,AAS084CC9004A,2200,TB-U,2.8,0.0,0.0,0.5
51,AAS096EL1002A,2200,TB-U,29.451,9.0,10.0,27.0
52,AAS096EL1009B,2200,TB-U,42.136,16.0,20.0,19.0
53,AAW008Y62015A,2200,TB-P,0.0,15.0,0.0,0.0
54,AAW016D53004A,2200,TA-2,4.982,0.0,0.0,8.5
55,AAW016D53004A,2200,TA-5,21.561,15.0,16.0,16.0
56,AAW016D53004A,2200,TA-P,12.767,8.0,8.0,8.0
57,AAW016D53004A,2200,TA-R,12.284,10.0,10.0,10.0
58,AAW016D53019A,2200,TA-2,2.877,23.0,4.0,1.5
59,AAW016D53019A,2200,TA-5,0.0,3.0,1.0,1.0
60,AAW016D53019A,3200,TA-2,0.0,0.0,0.0,0.5
61,AAW024MA6013C,2200,TA-1,67.937,2.0,2.0,2.5
62,AAW024MA6019B,2200,TA-1,22.728,4.0,4.0,1.0
63,AAW024XJ4004A,2200,TA-3,11.599,0.0,2.0,0.0
64,AAW048TP1008B,2200,TA-2,13.218,8.0,9.0,17.0
65,AAW048TP1008B,2200,TA-3,9.36,7.0,7.0,9.5
66,AAW048TP1008B,2200,TA-5,23.04,25.0,25.0,25.0
67,AAW048TP1020C,2200,TA-2,6.059,2.0,2.0,0.0
68,AAW048TP1024D,2200,TA-2,10.8,7.0,6.0,3.5
69,AAW048TP1024D,2200,TA-P,6.48,5.0,4.0,4.0
70,AAW048TP1041B,2200,TA-2,1.44,0.0,0.0,4.5
71,AAW048TP1041B,2200,TA-3,0.72,0.0,0.0,2.5
72,AAW048TP1041B,2200,TA-5,28.08,30.0,30.0,30.0
73,AAW048TP1043B,2200,TA-1,38.88,6.0,6.0,6.0
74,AAW048TP1043B,2200,TA-2,6.48,1.0,1.0,1.0
75,AAW052XY1002A,2200,TA-1,12.587,4.0,4.0,4.0
76,AAW064MR1002B,2200,TA-1,15.775,2.0,2.0,2.0
77,AB054NR1001A,2200,TA-1,50.888,6.0,6.0,6.0
78,AB054NR1001A,2200,TA-2,5.507,0.0,0.0,0.5
79,ABU008Y62002A,2200,TB-U,184.051,12.0,0.0,0.0
80,ABU008YD2008A,2200,TB-U,0.0,0.0,0.0,1.0
81,ABU008YQ2002A,2200,TB-U,69.12,4.0,3.0,3.0
82,ABU024XJ6003A,2200,TA-3,16.044,1.0,2.0,2.0
83,ABU024XJ8004A,2200,TA-3,9.945,0.0,0.0,1.0
84,ABU024XJ8004A,3200,TA-3,2.03,1.0,1.0,0.0
85,ABU048MA7001A,2200,TA-1,12.115,2.0,2.0,2.0
86,ABU048MA7002A,2200,TA-1,12.257,1.0,1.0,1.0
87,ABU048MA7003A,2200,TA-1,12.28,2.0,2.0,3.0
88,ABU048MA7004A,2200,TA-1,16.966,2.0,2.0,1.0
89,ABU048TP2003B,2200,TA-1,6.48,1.0,1.0,1.0
90,ABU054MF6004A,2200,TA-1,0.0,0.0,1.0,0.0
91,ABU054NO2009A,2200,TA-1,37.549,7.0,7.0,3.0
92,ABU078EA1001A,2200,TA-1,21.942,3.0,3.0,3.0
93,ABU084XU2001B,3200,TA-2,4.48,3.0,3.0,1.0
94,ABU086TA1007A,2200,TA-1,12.8,3.0,3.0,3.0
95,ABU096EA1001A,2200,TA-1,8.937,2.0,2.0,2.0
96,ABU096EA1001A,2200,TA-3,5.168,1.0,1.0,1.0
97,ABU096EF2001A,2200,TA-1,44.894,8.0,8.0,8.0
98,ABU096EF2001A,2200,TA-2,9.878,1.0,1.0,1.5
99,ABU096EF2001A,2200,TA-5,9.852,2.0,2.0,2.0
100,ABU096EF2002A,2200,TA-1,4.917,1.0,1.0,1.0
101,ABU100X69002A,2200,TA-2,3.662,2.0,2.0,2.0
102,ABU153XT9001A,2200,TB-I,7.18,2.0,3.0,4.0
103,ABU153XT9002A,2200,TB-I,1.749,0.0,1.0,0.5
104,ABU153XT9013A,3200,TA-2,0.0,0.0,0.0,1.0
105,ABU200KX1001D,2200,TA-2,7.026,5.0,6.0,5.0
106,ABW032YB1005B,2200,TB-U,0.0,3.0,0.0,0.0
107,ABW032YF1007B,2200,TB-P,0.0,1.0,0.0,0.0
108,ABW032YF1007B,2200,TB-U,4.4,2.0,1.0,1.0
