ENTITY,SUM,MODEL,STATUS,LOT#,Pre-Lot,OPER,PRODUCT,PACKAGE ID,BOND ID,WIP,IC Q'ty,IN TIME,OUTPLAN,CUST,PIN_PKG,CLOT,JCODE,UPH,LAMILATION,REMARK1,AREA,PM,SETTING OPER,Lot Part Id,Lot Urgent Code,Last Wip Lot,Last Pin Package,Last Cust,Last bd id,Last Part ID,Unnamed: 31,G.UPH,N.UPH,wip_outplan_time
BB211,0,UTC3000,RUNNING,R17ABD702,,3200,162KEAB011,UBG056001/IG/W71NW10HM3FW,AAB162KE1006A,3240,8121,22-05-08 05:16,22-05-09 11:59,WINBOND,STBGA162B4U,6216M0103,,105.5238,,3000M,TA-A20,,3200,1091A07T21,,R17ABD814,STBGA162B4U,WINBOND,AAB162KE1006A,1091A07T21,,412.5821,366.4761,22-05-09 11:59
BB212,0,UTC3000,RUNNING,R19AWAH40,,2200,048TPAW103,5480CNB-48TU000,AAW048TP1008B,720,34132,22-05-08 21:03,22-05-09 07:38,MXIC,TSOP1-48/M2,8K064200,,68.0197,,3000M,TA-A19,,2200,1091A08T41,,R19AWAF42,TSOP1-48/M2,MXIC,AAW048TP1008B,1091A08T41,,68.0197,60.4185,22-05-09 07:38
BB213,0,UTC3000,RUNNING,R18ABBV07,,2200,162KEAB004,UBG032001/IG/W71NW10GE3FW,AAB162KE1002A,1590,49524,22-05-08 21:04,22-05-09 11:38,WINBOND,STBGA162B4U,6217M0058,,109.2198,,3000M,TA-A19,,2200,1091A07T21,,R18ABBV04,STBGA162B4U,WINBOND,AAB162KE1002A,1091A07T21,,109.2198,97.0144,22-05-09 11:38
BB214,0,UTC3000,RUNNING,R19AWAK22,,2200,048TPAW103,5480CNB-48TU000,AAW048TP1008B,720,34144,22-05-09 06:25,22-05-09 17:00,MXIC,TSOP1-48/M2,8K069400,,68.0197,,3000M,TA-A19,05/09/2022 MP,2200,1091A08T41,,R19AWAH17,TSOP1-48/M2,MXIC,AAW048TP1008B,1091A08T41,,68.0197,60.4185,22-05-09 17:00
BB215,0,UTC3000,RUNNING,R19MSEF02,,2200,078ENMS009,Z11B1SA8CMS2693{R-low alp,AMS078EN1001A,3600,31032,22-05-09 05:26,22-05-09 19:34,MTI,FBGA-78UEN,252293B.00L,,254.6119,,3000M,TA-A19,05/10/2022 MP,2200,1091A06T21,,R19MSEH03,FBGA-78UEN,MTI,AMS078EN1001A,1091A06T21,,254.6119,226.159,22-05-09 19:34
BB216,0,UTC3000,WAIT-SETUP,,,,,,ANV132X2A021C,,,22-05-09 07:21,,,,,EBD,,,3000M,TA-A19,05/11/2022 MP,2200,,,R18BUC704,FBGA-96LEA,ICSI,ABU096EA1001A,1091A07C21,,,,
BB217,0,UTC3000,IN-REPAIR,R19AWAK17,,2200,048TPAW103,5480CNB-48TU000,AAW048TP1008B,720,34144,22-05-09 07:46,22-05-09 09:12:57,MXIC,TSOP1-48/M2,8K069400,W1,68.0197,,2000M,TA-A20,05/12/2022 MP,2200,1091A08T41,,R19AWAF43,TSOP1-48/M2,MXIC,AAW048TP1008B,1091A08T41,,68.0197,60.4185,22-05-09 09:12
BB218,0,UTC3000,IDLE,,,,,,ABU096EA1001A,,,22-05-09 03:48,,,,,,,,1000M,TA-A20,05/13/2022 MP,2200,,,R18BUC703,FBGA-96LEA,ICSI,ABU096EA1001A,1091A07C21,,242.8889,215.7461,
BB219,0,UTC3000,RUNNING,R19MSDL07,,2200,078ENMS009,Z11B1SA8CMS2693{R-low alp,AMS078EN1001A,3540,30468,22-05-08 23:39,22-05-09 13:34,MTI,FBGA-78UEN,252002B.00L,,254.6119,,3000M,TA-A20,05/14/2022 MP,2200,1091A06T21,,R19MSDL03,FBGA-78UEN,MTI,AMS078EN1001A,1091A06T21,,254.6119,226.159,22-05-09 13:34
BB220,0,UTC3000,RUNNING,R18OKA910,,2200,048TVOK056,MR20XG2440E-XXXTNHAR,AOK048TV1029A,2560,37536,22-05-08 23:47,22-05-09 11:33,LAPIS,TSOP1-48A2,Y60509305.00,,217.3206,,3000M,TA-A20,05/15/2022 MP,2200,1091A07C41,,R18OKA715,TSOP1-48A2,LAPIS,AOK048TV1029A,1091A07C41,,217.3206,193.035,22-05-09 11:33
