pkg_type,process_id,version,detail_id,remark,
	T,	153XT098       ,	 C,	S22000102,	A0803CB1224(KNS)                        ,
	T,	153XT098       ,	 C,	S32000102,	A0803CB1224(KNS)                        ,
	T,	020YU001       ,	 K,	S22000102,	A0803CB0826                             ,
	T,	012Y1002       ,	 G,	S22000102,	A0803CB0938 (KNS)                       ,
	T,	020YU002       ,	 J,	S22000102,	A0803CB0826 (KNS)                       ,
	T,	010YK024       ,	 H,	S22000102,	A0803CB0784(KNS)                        ,
	T,	008YK046       ,	 G,	S22000102,	A0803CB1315(KNS)                        ,
	T,	0282J028       ,	 B,	S22000102,	A0803CB0991(KNS)                        ,
	T,	0086A137       ,	 G,	S22000102,	A0803CB1212(KNS)                        ,
	T,	064MR026       ,	 H,	S22000102,	A0801CB0746(UTC)                        ,
	T,	064MR026       ,	 H,	S22000102,	A0803CB0746(KNS)                        ,
	T,	020YU006       ,	 G,	S22000102,	A0803CB0826 (KNS)                       ,
	T,	345XT065       ,	 A,	S22000102,	A0801CB1285(UTC)                        ,
	T,	345XT065       ,	 A,	S22000102,	A0803CB1323(KNS)                        ,
	T,	345XT065       ,	 A,	S32000102,	A0801CB1285(UTC)                        ,
	T,	345XT065       ,	 A,	S32000102,	A0803CB1323(KNS)                        ,
	T,	345XT065       ,	 A,	S34000102,	A0801CB1285(UTC)                        ,
	T,	345XT065       ,	 A,	S34000102,	A0803CB1323(KNS)                        ,
	T,	012DN020       ,	 E,	S22000102,	A0801CB0727(UTC)                        ,
	T,	012DN020       ,	 E,	S22000102,	A0803CB0727(KNS)                        ,
	T,	010YK030       ,	 E,	S22000102,	A0803CB1315(KNS)                        ,
	T,	132X2364       ,	 B,	S22000102,	A0801CB1176(UTC)                        ,
	T,	132X2364       ,	 B,	S22000102,	A0803CB1295(KNS)                        ,
	T,	132X2364       ,	 B,	S32000102,	A0801CB1176(UTC)                        ,
	T,	132X2364       ,	 B,	S32000102,	A0803CB1295(KNS)                        ,
	T,	0086A181       ,	 A,	S22000102,	A0803CB1212(KNS)                        ,
	T,	048XJ020       ,	 A,	S22000102,	A0801CB0248 (UTC)                       ,
	T,	048XJ020       ,	 A,	S22000102,	A0803CB0248 (KNS)                       ,
	T,	048XJ020       ,	 A,	S32000102,	A0801CB0248(UTC)                        ,
	T,	048XJ020       ,	 A,	S32000102,	A0803CB0248(KNS)                        ,
	T,	0086A147       ,	 F,	S22000102,	A0803CB1212(KNS)                        ,
	T,	0086A175       ,	 A,	S22000102,	A0803CB1212(KNS)                        ,
	T,	0086A178       ,	 A,	S22000102,	A0803CB1212(KNS)                        ,
	T,	0086A177       ,	 A,	S22000102,	A0803CB1212(KNS)                        ,
	T,	0086A167       ,	 C,	S22000102,	A0803CB1212(KNS)                        ,
	T,	0086A188       ,	 A,	S22000102,	A0803CB1212(KNS)                        ,
	T,	0086A176       ,	 A,	S22000102,	A0803CB1212(KNS)                        ,
	T,	048XZ008       ,	 C,	S22000102,	A0801CB0571                             ,
	T,	054NB026       ,	 R,	S22000102,	A0801CB0248                             ,
	T,	096EF044       ,	 C,	S22000102,	A0801CB1211(UTC)                        ,
	T,	096EF044       ,	 C,	S32000102,	A0801CB1205(UTC)                        ,
	T,	153XT164       ,	 E,	S22000102,	A0801CB1072(UTC)                        ,
	T,	153XT164       ,	 E,	S22000102,	A0803CB1294(KNS)                        ,
	T,	078EA005       ,	 D,	S22000102,	A0801CB1206                             ,
	T,	078EA005       ,	 D,	S32000102,	A0801CB1099                             ,
	T,	078EN006       ,	 I,	S22000102,	A0801CB1169(UTC)                        ,
	T,	078EN006       ,	 I,	S22000102,	A0803CB1169(KNS)                        ,
	T,	153XT189       ,	 B,	S22000102,	A0801CB1072(UTC)                        ,
	T,	153XT189       ,	 B,	S22000102,	A0803CB1294(KNS)                        ,
	T,	008YQ188       ,	 C,	S22000102,	A0803CB1365(KNS)                        ,
	T,	060EM004       ,	 F,	S22000102,	A0801CB1291(UTC)                        ,
	T,	0442J026       ,	 A,	S22000102,	A0803CB1181(KNS)                        ,
	T,	0442J026       ,	 A,	S32000102,	A0803CB1181(KNS)                        ,
	T,	096EL079       ,	 H,	S22000102,	A0803CB1240(KNS)                        ,
