bd_id,da_out,da_act
ENG,0.00,0.00
,0.00,0.00
,0.00,0.00
,0.00,0.00
AQW008YM2003A,0.00,0.00
AZA0086A1002A,0.00,0.00
AZA0086A1001B,0.00,0.00
,0.00,0.00
ANI008OK2001A,0.00,0.00
ANI008OK2001A,0.00,0.00
ANI008OK2001A,0.00,0.00
ANI008OK2001A,0.00,0.00
ANI008OK2001A,0.00,0.00
ANI008OK2001A,0.00,0.00
ANI008OK2001A,0.00,0.00
ANI008OK2001A,0.00,0.00
ANI008YK3002A,29.12,0.00
ANI008YZ1001D,0.00,0.00
ANI012Y11002C,0.00,0.00
ANI012Y11002C,0.00,0.00
ANI012Y32001B,0.00,0.00
ANI012Y32001B,0.00,0.00
ANI012Y32001B,0.00,0.00
ANI012Y32002D,0.00,0.00
ANI012Y32001B,0.00,0.00
ANI012Y32001B,0.00,0.00
ANI012Y32001B,0.00,0.00
ANI012Y32001B,0.00,0.00
ANI012Y32002D,0.00,0.00
ANI012Y32001B,0.00,0.00
ANI012Y32002D,0.00,0.00
ANI012Y32002D,0.00,0.00
ANI012Y32002D,0.00,0.00
ANI012Y32002D,0.00,0.00
ANI012Y32001B,0.00,0.00
ANI012Y32002D,0.00,0.00
ANI012Y32002D,0.00,0.00
ANI014OA1001C,0.00,0.00
ANI014OL1001C,0.00,0.00
ANI014OL1001C,0.00,0.00
ANI016OF2001B,0.00,0.00
ANI016OF2001B,0.00,0.00
ANI020YU1005C,0.00,0.00
ANI020YU1002B,0.00,0.00
ANI020YU1005C,0.00,0.00
ANI020YU1005C,0.00,0.00
ANI020YU1002B,0.00,0.00
ANI020YU1002B,0.00,0.00
ANI020YU1002B,0.00,0.00
ANI020YU1002B,0.00,0.00
ANI020YU1001M,0.00,0.00
ANI020YU1005C,0.00,0.00
ANI020YU1005C,0.00,0.00
ANI020YU1002B,0.00,0.00
ANI020YU1002B,0.00,0.00
ANI020YU1002B,0.00,0.00
ANI020YU1002B,0.00,0.00
ANI020YU1002B,0.00,0.00
ANI020YU1002B,0.00,0.00
ANI020YU1002B,0.00,0.00
ANI020YU1002B,0.00,0.00
ANI020YU1002B,0.00,0.00
ANI020YU1002B,0.00,0.00
ANI020YU1001M,0.00,0.00
ANI020YU1002B,0.00,0.00
ANI020YU1002B,0.00,0.00
ANI020YU1005C,0.00,0.00
ANI020YU1005C,0.00,0.00
ANI020YU1002B,0.00,0.00
ANI020YU1001M,0.00,0.00
ANI020YU1002B,0.00,0.00
,0.00,0.00
AHQ0445T2011A,0.00,0.00
AHQ0223R1001B,0.00,0.00
AHQ0345V1001A,0.00,0.00
AHQ0415L1003B,0.00,0.00
,0.00,0.00
AAB008YD4001A,0.00,0.00
AAS008YD2026A,0.00,0.00
AAS008YQ3008A,0.00,0.00
AAB008YQ3019A,0.00,0.00
AAW024XJ4017A,0.00,0.00
AAB090NC7001A,0.00,0.00
AAW162KE1002A,0.00,0.00
ACD054TA1007A,44.64,0.00
ACD096EL1002A,0.00,0.00
AAS024MA0006A,0.00,0.00
AAS048TG2003A,0.00,0.00
AAS096EL1002A,0.00,0.00
AAS096EL2001A,0.00,0.00
AAS096EL1016A,0.00,0.00
AAS162KE1008A,0.00,0.00
,0.00,0.00
AVE008YD2001A,0.00,0.00
AVE054TS1001E,0.00,0.00
,0.00,0.00
,0.00,0.00
ABU008Y62007A,0.00,0.00
ABU084CC2001C,0.00,0.00
ABU096EA1003A,0.00,0.00
ABU200N74002B,0.00,0.00
AMF088Y23001A,0.00,0.00
,0.00,0.00
ABU008YD2009A,0.00,0.00
ABU008YQ2019A,0.00,0.00
ABU024XJ6003A,0.00,0.00
ABU024XW3011B,0.00,0.00
ABU064RK1001A,0.00,0.00
ABU153XT9002A,0.00,0.00
AOK048TV1029A,0.00,0.00
,0.00,0.00
AMS048TW1050A,0.00,0.00
AMS078EN1001A,0.00,14.32
AMS096EC3001B,0.00,5.59
ALW078EP1001A,0.00,0.00
ALW096EF2001A,0.00,0.00
,0.00,0.00
,0.00,0.00
,0.00,0.00
AAW016D53011A,0.00,0.00
AAW016D53017A,0.00,0.00
AAW016D53017A,0.00,0.00
