ENTITY,MODEL,STATUS,LOT#,OPER,PRODUCT,BOND ID,OUTPLAN,IN TIME,CUST,PIN_PKG,WIP,PM,Lot Part Id,Lot Urgent Code,Last Wip Lot,Last Pin Package,Last Cust,Last bd id,Last Part ID,G.UPH,wip_outplan_time,SETTING OPER,ent_weight
BB211,UTC3000,RUNNING,R20AWB325,2200.0,048TPAW086,AAW048TP1041B,22-05-17 08:27,22-05-16 23:10,MXIC,TSOP1-48/M2,720.0,0,1091A08T41,0,R20AWB303,TSOP1-48/M2,MXIC,AAW048TP1041B,1091A08T41,77.5263,22-05-17 08:27,2200,32020.10714285714
BB212,UTC3000,ENG,R18NVUF54,2200.0,345XTNV080,ANV345XTG002A,22-05-16 13:33,22-05-16 13:33,PHISON,STBGA345NBC,687.0,0,1091A07C41,P,R18NVUF31,STBGA345NBC,PHISON,ANV345XTG002A,1091A07C41,69.5439,22-05-16 23:15,2200,2969.285714285714
BB213,UTC3000,RUNNING,R18RKAI03,2200.0,078EPRK003,ARK078EP1001B,22-05-16 09:34,22-05-15 06:08,RK,FBGA-78UEP,5960.0,0,0,0,R19MSCH01,FBGA-96UEF,MTI,AMS096EF2001A,1091A06T21,217.3454,22-05-16 09:34,2200,45783.5
BB214,UTC3000,ENG,0,0.0,0,ANV345XTG002A,22-05-16 18:07,22-05-16 18:07,0,0,0.0,0,0,0,R18NVUF51,STBGA345NBC,PHISON,ANV345XTG002A,1091A07C41,69.5439,0,2200,0.0
BB215,UTC3000,RUNNING,R18RKAI01,2200.0,078EPRK003,ARK078EP1001B,22-05-16 10:01,22-05-15 06:36,RK,FBGA-78UEP,5960.0,0,0,0,R19MSCZ01,FBGA-96UEF,MTI,AMS096EF2001A,1091A06T21,217.3454,22-05-16 10:01,2200,45783.5
BB216,UTC3000,IDLE,0,0.0,0,ARK078EP1001B,0,22-05-17 07:48,0,0,0.0,0,0,0,R19VGAN01,STBGA24J4U,ISSI-VG,ABU024XJ6003A,1091A07T41,217.3454,0,2200,0.0
BB217,UTC3000,ENG,0,0.0,0,ANV345XTG002A,22-05-14 16:10,22-05-14 16:10,0,0,0.0,0,0,0,R18NVUF30,STBGA345NBC,PHISON,ANV345XTG002A,1091A07C41,69.5439,0,2200,0.0
BB218,UTC3000,IDLE,0,0.0,0,AEU252X02002A,0,22-05-17 07:06,0,0,0.0,0,0,0,R19EUKC03,STBGA252D4V,TRANSCEND,AEU252X02002A,1091A07C41,58.8644,0,2200,0.0
BB219,UTC3000,ENG,R18NVUF46,2200.0,345XTNV080,ANV345XTG002A,22-05-14 17:04,22-05-14 17:04,PHISON,STBGA345NBC,679.0,0,1091A07C41,P,R18NVUF32,STBGA345NBC,PHISON,ANV345XTG002A,1091A07C41,69.5439,22-05-14 23:04,2200,2969.285714285714
BB220,UTC3000,RUNNING,R20NVW903,2200.0,132X2NV158,ANV132X2C059A,22-05-17 03:40,22-05-16 11:11,PHISON,STBGA132G4VT,1141.0,0,1091A06C41,0,R18OKAN12,TSOP1-48A2,LAPIS,AOK048TV1029A,1091A07C41,69.2208,22-05-17 03:40,2200,13140.4
BB221,UTC3000,RUNNING,R20AWB317,2200.0,048TPAW086,AAW048TP1041B,22-05-17 09:04,22-05-16 23:47,MXIC,TSOP1-48/M2,720.0,0,1091A08T41,0,R20AWA741,TSOP1-48/M2,MXIC,AAW048TP1041B,1091A08T41,77.5263,22-05-17 09:04,2200,32020.10714285714
BB222,UTC3000,RUNNING,R20AWBV03,2200.0,048TPAW086,AAW048TP1041B,22-05-17 14:01,22-05-17 04:44,MXIC,TSOP1-48/M2,720.0,05/17/2022 SP,1091A08T41,0,R20AWB335,TSOP1-48/M2,MXIC,AAW048TP1041B,1091A08T41,77.5263,22-05-17 14:01,2200,32020.10714285714
BB223,UTC3000,RUNNING,R80CMRJ01,2200.0,132X2CM106ENG,ANV132X2A021C,0,22-05-16 20:42,ENG,STBGA132G4U,240.0,05/18/2022 SP,0,0,R07NVG501,STBGA132G4U,PHISON,ANV132X2A021C,1091A08C41,164.1774,0,2200,68.57142857142857
BB224,UTC3000,SETUP,0,0.0,0,ARK078EP1001B,22-05-17 09:00,22-05-17 07:36,0,0,0.0,05/19/2022 SP,0,0,R19AWDU02,STBGA24A3L,MXIC,AAW024XJ6014A,1091A07T41,217.3454,0,2200,0.0
BB225,UTC3000,RUNNING,R20AWBQ07,2200.0,048TPAW086,AAW048TP1041B,22-05-17 09:27,22-05-17 00:10,MXIC,TSOP1-48/M2,720.0,05/20/2022 SP,1091A08T41,0,R20AWB301,TSOP1-48/M2,MXIC,AAW048TP1041B,1091A08T41,77.5263,22-05-17 09:27,2200,32020.10714285714
BB226,UTC3000,WAIT-SETUP,0,0.0,0,ARK078EP1001B,0,22-05-17 07:00,0,0,0.0,05/21/2022 SP,0,0,R19AWDU04,STBGA24A3L,MXIC,AAW024XJ6014A,1091A07T41,217.3454,0,2200,0.0
BB227,UTC3000,RUNNING,R20AWBQ44,2200.0,048TPAW086,AAW048TP1041B,22-05-17 09:24,22-05-17 00:07,MXIC,TSOP1-48/M2,720.0,05/22/2022 SP,1091A08T41,0,R20AWB306,TSOP1-48/M2,MXIC,AAW048TP1041B,1091A08T41,77.5263,22-05-17 09:24,2200,32020.10714285714
BB228,UTC3000,RUNNING,R20ABA601,2200.0,060NRAB028,AAB060NR2004A,22-05-17 05:29,22-05-17 05:23,WINBOND,VFBGA60B4U,500.0,05/23/2022 SP,0,0,R20ABA501,VFBGA60B4U,WINBOND,AAB060NR2004A,1091A07T21,0.0,22-05-17 05:29,2200,220.0
BB229,UTC3000,ENG,R18NVUF50,2200.0,345XTNV080,ANV345XTG002A,22-05-14 16:04,22-05-14 16:04,PHISON,STBGA345NBC,680.0,05/24/2022 SP,1091A07C41,P,R18NVUF33,STBGA345NBC,PHISON,ANV345XTG002A,1091A07C41,69.5439,22-05-14 19:02,2200,2969.285714285714
BB230,UTC3000,ENG,R18NVUF53,2200.0,345XTNV080,ANV345XTG002A,22-05-14 20:20,22-05-14 20:20,PHISON,STBGA345NBC,680.0,05/25/2022 SP,1091A07C41,P,R18NVUF42,STBGA345NBC,PHISON,ANV345XTG002A,1091A07C41,69.5439,22-05-15 06:06,2200,2969.285714285714
BB231,UTC3000,IDLE,0,0.0,0,ABU024XJ8004A,0,22-05-17 05:46,0,0,0.0,05/26/2022 SP,0,0,R18VGB301,STBGA24D4U,ISSI-VG,ABU024XJ8004A,1091A07T41,546.937,0,3400,0.0
BB232,UTC3000,WAIT-SETUP,R20AWBV23,2200.0,048TPAW086,AAW048TP1041B,22-05-17 13:09:26,22-05-17 07:28,MXIC,TSOP1-48/M2,720.0,05/27/2022 SP,1091A08T41,0,R20AWA923,TSOP1-48/M2,MXIC,AAW048TP1041B,1091A08T41,77.5263,22-05-17 13:09,2200,32020.10714285714
BB233,UTC3000,ENG,0,0.0,0,ANV345XTG002A,22-05-16 13:23,22-05-16 13:23,0,0,0.0,05/28/2022 SP,0,0,R18NVUF54,STBGA345NBC,PHISON,ANV345XTG002A,1091A07C41,69.5439,0,2200,0.0
BB234,UTC3000,RUNNING,R20AWBV02,2200.0,048TPAW086,AAW048TP1041B,22-05-17 11:59,22-05-17 02:42,MXIC,TSOP1-48/M2,720.0,05/29/2022 SP,1091A08T41,0,R20AWB338,TSOP1-48/M2,MXIC,AAW048TP1041B,1091A08T41,77.5263,22-05-17 11:59,2200,32020.10714285714
BB235,UTC3000,ENG,R18NVUF49,2200.0,345XTNV080,ANV345XTG002A,22-05-14 16:04,22-05-14 16:04,PHISON,STBGA345NBC,680.0,05/30/2022 SP,1091A07C41,P,R18NVUF48,STBGA345NBC,PHISON,ANV345XTG002A,1091A07C41,69.5439,22-05-14 18:12,2200,2969.285714285714
BB441,UTC1000S,WAIT-SETUP,R19BUB910,2200.0,096EFBU001,ABU096EF2001A,22-05-17 06:41:28,22-05-17 05:45,ICSI,FBGA-96UEF,4134.0,0,1091A07T21,0,R19BUB709,FBGA-96UEF,ICSI,ABU096EF2001A,1091A07T21,271.2028,22-05-17 06:41,2200,25105.960784313724
BB442,UTC1000S,RUNNING,R18RKAI02,2200.0,078EPRK003,ARK078EP1001B,22-05-16 21:44,22-05-15 15:02,RK,FBGA-78UEP,5960.0,0,0,0,R18RKAE04,FBGA-78UEP,RK,ARK078EP1001B,1091A06C21,194.1381,22-05-16 21:44,2200,45783.5
BB443,UTC1000S,RUNNING,R20ABSL05,2200.0,060EMAB004,AAB060EM2001A,22-05-18 00:11,22-05-16 23:10,WINBOND,FBGA60UEM2-1,7737.0,0,1091A07T21,0,R20ABSU03,FBGA60UEM2-1,WINBOND,AAB060EM2001A,1091A07T21,309.2533,22-05-18 00:11,2200,14031.591666666667
BB444,UTC1000S,IDLE,0,0.0,0,AMS078EN1005A,0,22-05-16 23:13,0,0,0.0,0,0,0,R20MSE407,FBGA-78UEN,MTI,AMS078EN1005A,1091A06T21,175.1896,0,2200,0.0
BB445,UTC1000S,IDLE,0,0.0,0,ACD054MF2003A,0,22-05-17 07:13,0,0,0.0,0,0,0,R20CDA603,MBGA54A2L,ETRON,ACD054MF2003A,1091A07T41,308.1811,0,2200,0.0
BB446,UTC1000S,ENG,R18AWBV02,2200.0,064MRAW035,AAW064MR1012A,22-05-09 09:12,22-05-09 09:12,MXIC,MBGA64J4U,4000.0,0,0,0,R18RKA203,FBGA-78UEP,RK,ARK078EP1001B,1091A06C21,242.9109,22-05-06 03:56,2200,1965.475
BB447,UTC1000S,RUNNING,R20CDAC06,2200.0,054TNCD017,ACD054TN1001A,22-05-17 11:19,22-05-16 22:54,ETRON,TSOP2-54ME,2880.0,0,1091A07T21,0,R20CDAC08,TSOP2-54ME,ETRON,ACD054TN1001A,1091A07T21,232.0865,22-05-17 11:19,2200,32585.074999999997
BB448,UTC1000S,IDLE,0,0.0,0,AMS078EN1005A,0,22-05-16 22:50,0,0,0.0,0,0,0,R20MSE513,FBGA-78UEN,MTI,AMS078EN1005A,1091A06T21,175.1896,0,2200,0.0
BB449,UTC1000S,IDLE,0,0.0,0,AAB178NN2001A,0,22-05-16 15:24,0,0,0.0,0,0,0,R19ABFN11,VFBGA178JEU,WINBOND,AAB178NN2001A,1091A07T21,132.725,0,2200,0.0
BB450,UTC1000S,RUNNING,R20MSEL12,2200.0,048TWMS080,AMS048TW1065A,22-05-17 10:35,22-05-17 04:54,MTI,TSOP1-48AM,2160.0,0,1091A07T41,0,R20AWB805,MINIBGA24A3L,MXIC,AAW024MA6018B,1091A09T41,380.2036,22-05-17 10:35,2200,33837.89523809524
BB451,UTC1000S,IDLE,0,0.0,0,ABU078EA1001A,0,22-05-16 16:14,0,0,0.0,0,0,0,R20BUA405,FBGA-78LEA,ICSI,ABU078EA1001A,1091A07C21,300.7119,0,2200,0.0
BB452,UTC1000S,IDLE,0,0.0,0,AMS078EN1005A,0,22-05-17 05:39,0,0,0.0,0,0,0,R20MSE314,FBGA-78UEN,MTI,AMS078EN1005A,1091A06T21,175.1896,0,2200,0.0
BB453,UTC1000S,RUNNING,R20BUAQ01,2200.0,096EFBU001,ABU096EF2001A,22-05-17 09:44,22-05-16 15:27,ICSI,FBGA-96UEF,4960.0,0,1091A07T21,0,R19BUB708,FBGA-96UEF,ICSI,ABU096EF2001A,1091A07T21,271.2028,22-05-17 09:44,2200,25105.960784313724
BB454,UTC1000S,RUNNING,R20MSEL16,2200.0,048TWMS080,AMS048TW1065A,22-05-17 08:52,22-05-17 03:11,MTI,TSOP1-48AM,2160.0,05/17/2022 MP,1091A07T41,0,R20AWB806,MINIBGA24A3L,MXIC,AAW024MA6018B,1091A09T41,380.2036,22-05-17 08:52,2200,33837.89523809524
BB455,UTC1000S,RUNNING,R20ABVL03,2200.0,096EFAB009,AAB096EF3001A,22-05-17 14:39,22-05-17 04:16,WINBOND,FBGA96UEF3-2,2326.0,05/18/2022 MP,1091A07T21,0,R20ABUJ05,FBGA96UEF3-2,WINBOND,AAB096EF3001A,1091A07T21,224.1817,22-05-17 14:39,2200,3505.9333333333334
BB456,UTC1000S,WAIT-SETUP,R20BUBN06,2200.0,054MFBU004,BU054MF1002A,22-05-17 16:57:31,22-05-17 06:53,ICSI,MINIBGA54A4,3861.0,05/19/2022 MP,1091A09C21,0,R20BUAK16,MINIBGA54A4,ICSI,BU054MF1002A,1091A09C21,301.7539,22-05-17 16:57,2200,8830.083333333332
