route,wlot_lot_number,wlot_crt_dat_al_1,pin_package,wlot_prod,wlot_qty_1,wlot_qty_2,wlot_oper,wlot_hold,wlot_mvin_perfmd,bd_id,urgent_code,sub_lot,wb_location,automotive,package_id,CR,super_hot_run_code,last_WB_entity
BGA118,R02ISA103,LYONTEK,MINIBGA48D3U,048MAIS024,2479,0,2090,N,N,AIS048MA9004A,,3,BB514-1,,LT8093C-3WFGLB45XI-4BLR,0.0,N,DA
BGA118,R02ISA101,LYONTEK,MINIBGA48D3U,048MAIS024,6064,0,2150,N,N,AIS048MA9004A,,3,N2A07-2,,LT8093C-3WFGLB45XI-4BLR,0.0,N,DA
BGA118,R02ISA102,LYONTEK,MINIBGA48D3U,048MAIS024,6120,0,2150,N,N,AIS048MA9004A,,3,N2A07-2,,LT8093C-3WFGLB45XI-4BLR,0.0,N,DA
BGA132,R02VGA904,ISSI-VG,VFBGA63H8L,063NWVG002,4000,0,2090,N,N,ABU063NW1003A,,7,BB546-1,,IS34ML01G084-BLI,-0.11,N,DA
BGA132,R02VGA903,ISSI-VG,VFBGA63H8L,063NWVG002,3993,0,2150,N,N,ABU063NW1003A,,7,N2A07-4,,IS34ML01G084-BLI,-0.11,N,DA
BGA132,R02VGA901,ISSI-VG,VFBGA63H8L,063NWVG002,4000,0,2150,N,N,ABU063NW1003A,,7,N2A07-4,,IS34ML01G084-BLI,-0.11,N,DA
BGA132,R02VGA905,ISSI-VG,VFBGA63H8L,063NWVG002,4000,0,2150,N,N,ABU063NW1003A,,7,N2A07-4,,IS34ML01G084-BLI,-0.11,N,DA
BGA132,R02VGA906,ISSI-VG,VFBGA63H8L,063NWVG002,4000,0,2200,N,Y,ABU063NW1003A,,7,,,IS34ML01G084-BLI,-0.11,N,DA
BGA132,R02VGA701,ISSI-VG,VFBGA63H8L,063NWVG002,4000,0,2250,N,N,ABU063NW1003A,,2,,,IS34ML01G081-BLI,-0.14,N,BB546
BGA132,R02VGA907,ISSI-VG,VFBGA63H8L,063NWVG002,1878,0,2250,N,N,ABU063NW1003A,,7,,,IS34ML01G084-BLI,-0.14,N,BB546
BGA132,R02VGA702,ISSI-VG,VFBGA63H8L,063NWVG002,179,0,2250,N,N,ABU063NW1003A,,2,,,IS34ML01G081-BLI,-0.14,N,BB546
BGA132,R02VGA902,ISSI-VG,VFBGA63H8L,063NWVG002,3999,0,2250,N,N,ABU063NW1003A,,7,,,IS34ML01G084-BLI,-0.14,N,BB546
BGA134,R80CMBF,ENG,FBGA-96UEL-3,096ELCM065ENG,3,9357,2005,Y,N,AAS096EL1002A,E,4,,,M15T1G1664AC1AG{GVEX2-LP-70}-ENG,-0.34,N,
BGA140,R02GAA101,FIDELIX,FBGA-96UEL-2,096ELGA001,2920,0,2090,N,N,AGA096EL2001A,,3,BB580-1,,FM38D16SAB-8KGD,0.05,N,DA
BGA140,R02GAA102,FIDELIX,FBGA-96UEL-2,096ELGA001,2920,0,2150,N,N,AGA096EL2001A,,3,N2A10-2,,FM38D16SAB-8KGD,0.05,N,DA
BGA140,R02GAA103,FIDELIX,FBGA-96UEL-2,096ELGA001,2746,0,2150,N,N,AGA096EL2001A,,3,N2A09-1,,FM38D16SAB-8KGD,0.05,N,DA
BGA145,P51VGEC,ISSI-VG,VFBGA64B4U,064RKVG004,4,9324,2010,N,N,ABU064RK1001A,,2,,,IS29GL128-70DLET-AS,-0.9,N,
BGA145,P49VGA6,ISSI-VG,VFBGA64B4U,064RKVG001,4,8533,2010,N,N,ABU064RK1002A,,2,,,IS29GL256-70DLEB-AS,-0.81,N,
BGA145,P48VGDC,ISSI-VG,VFBGA64B4U,064RKVG001,12,26731,2010,N,N,ABU064RK1002A,,4,,,IS29GL256-70DLET-AS,-0.81,N,
BGA145,P51VGEB,ISSI-VG,VFBGA64B4U,064RKVG004,12,25710,2010,N,N,ABU064RK1001A,,4,,,IS29GL128-70DLET-AS,-0.9,N,
BGA145,PXXVGHS,ChipMOS,VFBGA64B4U,064RKVG004,110,0,2070,N,N,ABU064RK1001A,,4,,,IS29GL128-70DLET-AS,-1.1,N,
BGA145,R02VGB2,ISSI-VG,VFBGA64B4U,064RKVG001,4848,2,2070,Y,N,ABU064RK1002A,,1,,,IS29GL256-70DLET-AS,-0.53,N,
BGA145,PXXVGHT,ChipMOS,VFBGA64B4U,064RKVG004,10,0,2070,N,N,ABU064RK1001A,,1,,,IS29GL128-70DLET-AS,-1.22,N,
BGA145,PXXVGHU,ChipMOS,VFBGA64B4U,064RKVG003,130,0,2070,N,N,ABU064RK1003A,,3,,Y,IS29GL256-70DLA3L-AS,0.0,N,
BGA145,PXXVGHQ,ChipMOS,VFBGA64B4U,064RKVG001,110,0,2070,N,N,ABU064RK1002A,,4,,,IS29GL256-70DLET-AS,-0.99,N,
BGA145,RXXVG1H,ChipMOS,VFBGA64B4U,064RKVG001,30,0,2070,N,N,ABU064RK1002A,,2,,,IS29GL256-70DLET-AS,-1.1,N,
BGA145,PXXVGHR,ChipMOS,VFBGA64B4U,064RKVG001,65,0,2070,N,N,ABU064RK1002A,,3,,,IS29GL256-70DLET-AS,-1.1,N,
BGA145,RXXVG1C,ChipMOS,VFBGA64B4U,064RKVG001,18,0,2070,N,N,ABU064RK1002A,,1,,,IS29GL256-70DLET-AS,-0.53,N,
BGA154,P53GAA203,FIDELIX,MINIBGA48A2,048MAGA016,1299,0,2320,N,N,GA048MA2008A,,3,,,FMP1617CC0-H85I,-0.29,N,BB443
BGA154,P53GAA201,FIDELIX,MINIBGA48A2,048MAGA016,4677,0,2320,N,N,GA048MA2008A,,3,,,FMP1617CC0-H85I,-0.29,N,BB443
BGA154,P53GAA202,FIDELIX,MINIBGA48A2,048MAGA016,4668,0,2320,N,N,GA048MA2008A,,3,,,FMP1617CC0-H85I,-0.29,N,BB443
BGA161,R03AWAN,MXIC,VFBGA63BAU,063NWAW010,1,3756,2003,N,N,AAW063NW4005A,,1,,,6329E-63XKAIY2999Y,-0.9,N,
BGA161,R03AWAP,MXIC,VFBGA63BAU,063NWAW009,6,16754,2003,N,N,AAW063NW4003A,,3,,,6330E-63XKAIY2A99G,-0.9,N,
BGA161,PXXAWJ3,ChipMOS,MINIBGA24A3L,024MAAW066,48,0,2070,N,N,AAW024MA6037B,,2,,Y,6762A-24XD10RTE13G{A},4.61,N,
BGA161,R02AWHM01,MXIC,MINIBGA24A4L,024MAAW045,8640,0,2070,N,Y,AAW024MA6022C,,2,,Y,6732L-24XD08QYI499{A},-0.76,N,
BGA161,R03AWAF,MXIC,MINIBGA24A4L,024MAAW045,4914,3,2070,N,N,AAW024MA6022C,,1,,Y,6732O-24XD08RYI399{A},-0.76,N,
BGA161,RXXAW1P,ChipMOS,MINIBGA24A4L,024MAAW045,42,0,2070,N,N,AAW024MA6022C,,1,,Y,6732O-24XD08RYI399{A},-1.79,N,
BGA161,R02AWHM02,MXIC,MINIBGA24A4L,024MAAW045,7903,0,2070,N,Y,AAW024MA6022C,,2,,Y,6732L-24XD08QYI499{A},-0.76,N,
BGA161,R03AWAG,MXIC,MINIBGA24A4L,024MAAW045,1644,1,2070,N,N,AAW024MA6022C,,1,,Y,6732O-24XD08RYI399{A},-0.76,N,
BGA161,R02AWHN,MXIC,MINIBGA24A4L,024MAAW045,31767,19,2070,N,N,AAW024MA6022C,,4,,Y,6732L-24XD08QYI499{A},-0.76,N,
BGA161,R03AWAH,MXIC,MINIBGA24A4L,024MAAW045,1727,1,2070,N,N,AAW024MA6022C,,1,,Y,6732O-24XD08RYI399{A},-0.76,N,
BGA161,R02AWHM,MXIC,MINIBGA24A4L,024MAAW045,0,10,2070,N,Y,AAW024MA6022C,,2,,Y,6732L-24XD08QYI499{A},-0.76,N,
BGA161,R03AWAE,MXIC,MINIBGA24A4L,024MAAW045,5083,3,2070,N,N,AAW024MA6022C,,1,,Y,6732O-24XD08RYI399{A},-0.76,N,
BGA161,RXXAW1S,ChipMOS,VFBGA63BAU,063NWAW009,55,0,2070,N,N,AAW063NW4003A,,3,,,6330E-63XKAIY2A99G,-1.1,N,
BGA161,R02AWGQ02,MXIC,MINIBGA24A3L,024MAAW066,8069,0,2080,N,N,AAW024MA6037B,,2,,Y,6762A-24XD10RTF13G{A},-1.07,N,DA
BGA161,R02AWHL02,MXIC,MINIBGA24A4L,024MAAW045,2979,0,2080,N,N,AAW024MA6022C,,2,,Y,6732L-24XD08QYI499{A},-1.07,N,DA
BGA161,R02AWG402,MXIC,MINIBGA24A4L,024MAAW060,8241,0,2150,N,N,AAW024MA6033B,,3,N2A10-1,,6732L-24XD08IYF499,-1.07,N,DA
BGA161,R02AWGQ01,MXIC,MINIBGA24A3L,024MAAW066,8640,0,2150,N,N,AAW024MA6037B,,2,N2A10-3,Y,6762A-24XD10RTF13G{A},-1.07,N,DA
BGA161,PXXAWAP01,ChipMOS,MINIBGA24A4L,024MAAW059,300,0,2150,N,N,AAW024MA6031B,,9,N2WB TB,Y,6738V-24XD05STE999{A},31.89,N,DA
BGA161,R02AWG403,MXIC,MINIBGA24A4L,024MAAW060,3070,0,2150,N,N,AAW024MA6033B,,3,,,6732L-24XD08IYF499,-1.07,N,DA
BGA161,R02AWHL01,MXIC,MINIBGA24A4L,024MAAW045,8640,0,2150,N,N,AAW024MA6022C,,2,,Y,6732L-24XD08QYI499{A},-1.07,N,DA
BGA161,PXXAWAF01,ChipMOS,MINIBGA24A4L,024MAAW045,144,0,2150,N,N,AAW024MA6022C,,3,N2WB TB,Y,6732L-24XD08RTE9VA,32.37,N,DA
BGA161,R02AWG401,MXIC,MINIBGA24A4L,024MAAW060,8362,0,2150,N,N,AAW024MA6033B,,3,N2A10-1,,6732L-24XD08IYF499,-1.07,N,DA
BGA161,RXXAW1L01,ChipMOS,MINIBGA24A4L,024MAAW045,186,0,2150,N,N,AAW024MA6022C,,2,N2WB TB,Y,6732L-24XD08QYI499{A},-2.83,N,DA
BGA161,R02AWD901,MXIC,MINIBGA24A4L,024MAAW048,8550,0,2200,N,Y,AAW024MA6025A,,1,,,6732V-24XD08ITF999,-0.27,N,DA
BGA161,R02AWDB01,MXIC,MINIBGA24A4L,024MAAW048,8560,0,2230,N,N,AAW024MA6025A,,2,,,6732V-24XD08ITF999,-0.35,N,BB504
BGA161,R02AWDB02,MXIC,MINIBGA24A4L,024MAAW048,1584,0,2230,N,N,AAW024MA6025A,,2,,,6732V-24XD08ITF999,-0.35,N,BB465
BGA161,R02AWDF02,MXIC,MINIBGA24A3L,024MAAW072,8595,0,2250,N,N,AAW024MA6041B,,3,,Y,6758X-24XD05QTN999,-0.35,N,BB785
BGA161,R02AWD701,MXIC,MINIBGA24A4L,024MAAW048,6912,0,2300,N,Y,AAW024MA6025A,,1,,,6732V-24XD08ITF999,-0.35,N,BB556
BGA161,R02AWB301,MXIC,MBGA24J3U,024MAAW083,3381,0,2320,N,N,AAW024MAA006A,4,1,,Y,6769A-24XD08RYB2GE,-0.29,N,BB480
BGA161,R02AWDA01,MXIC,MINIBGA24A4L,024MAAW048,8366,0,2320,N,N,AAW024MA6025A,,2,,,6732V-24XD08ITF999,-0.74,N,BB465
BGA161,R02AWDA02,MXIC,MINIBGA24A4L,024MAAW048,3761,0,2320,N,N,AAW024MA6025A,,2,,,6732V-24XD08ITF999,-0.74,N,BB504
BGA161,P99CML601,ENG,VFBGA134JEU,134N9CM008ENG,126,0,2405,N,N,ABU134N93001A,E,1,,Y,IS46LD32640C-XBLA2-AS-ENG,0.0,N,
BGA161,P99CML501,ENG,VFBGA134JEU,134N9CM008ENG,126,0,2405,N,N,ABU134N93001A,E,1,,Y,IS46LD32640C-XBLA2-AS-ENG,0.0,N,BB556
BGA161,R02AWB201,MXIC,MINIBGA24A3L,024MAAW065,8639,0,2430,N,N,AAW024MA6036A,,9,,Y,6757L-24XD08QYD999{A},0.89,N,BB704
BGA161,R02AWB205,MXIC,MINIBGA24A3L,024MAAW065,8640,0,2430,N,N,AAW024MA6036A,,9,,Y,6757L-24XD08QYD999{A},0.89,N,BB704
BGA161,R02AWB209,MXIC,MINIBGA24A3L,024MAAW065,6132,0,2430,N,N,AAW024MA6036A,,9,,Y,6757L-24XD08QYD999{A},0.89,N,BB704
BGA161,R02AWD501,MXIC,MINIBGA24A4L,024MAAW048,8438,0,2430,N,N,AAW024MA6025A,,2,,,6732V-24XD08ITF999,-1.11,N,BB504
BGA161,R02AWD801,MXIC,MINIBGA24A4L,024MAAW048,8565,0,2430,N,N,AAW024MA6025A,,1,,,6732V-24XD08ITF999,-1.11,N,BB504
BGA161,R02AWDF01,MXIC,MINIBGA24A3L,024MAAW072,8559,0,2430,N,N,AAW024MA6041B,,3,,Y,6758X-24XD05QTN999,-1.11,N,BB785
BGA161,R02AWEU02,MXIC,MINIBGA24A4L,024MAAW058,8603,0,2430,N,N,AAW024MA6029D,,3,,Y,6750V-24XD05QTG999{A},-1.78,N,BB621
