ENTITY,MODEL,STATUS,LOT#,OPER,PRODUCT,BOND ID,OUTPLAN,IN TIME,CUST,PIN_PKG,WIP,PM
BB211,UTC3000,RUNNING,R02AWGC02,2200,024XJAW020,AAW024XJ6010B,22-01-12 09:36,22-01-11 21:16,MXIC,STBGA24A4L,4225,01/25/2022 MP
BB212,UTC3000,IDLE,,,,ALW078EP1001A,,22-01-11 06:00,,,,
BB213,UTC3000,RUNNING,R02AWE101,3200,024XJAW020,AAW024XJ6010B,22-01-12 14:24,22-01-12 02:03,MXIC,STBGA24A4L,4230,
BB214,UTC3000,RUNNING,R02AWBN02,2200,048TPAW086,AAW048TP1041B,22-01-12 04:22,22-01-11 19:05,MXIC,TSOP1-48/M2,720,
BB215,UTC3000,IDLE,,,,ALW078EP1001A,,22-01-11 07:55,,,,
BB216,UTC3000,RUNNING,R02AWE202,3200,024XJAW020,AAW024XJ6010B,22-01-12 09:30,22-01-11 20:22,MXIC,STBGA24A4L,4502,
BB217,UTC3000,IDLE,,,,AMS096EC3001B,,22-01-11 14:53,,,,
BB218,UTC3000,RUNNING,R02MSAF02,2200,078EPMS004,AMS078EP1001A,22-01-12 16:05,22-01-11 18:54,MTI,FBGA-78UEP,5817,
BB219,UTC3000,RUNNING,R02AWGC01,2200,024XJAW020,AAW024XJ6010B,22-01-12 08:58,22-01-11 20:46,MXIC,STBGA24A4L,4180,
BB220,UTC3000,RUNNING,P53MSNP03,2200,078EPMS004,AMS078EP1001A,22-01-12 12:37,22-01-11 14:55,MTI,FBGA-78UEP,5960,
BB221,UTC3000,WAIT-REPAIR,,,,AOK048TV1029A,,22-01-10 14:08,,,,
BB222,UTC3000,RUNNING,R02AWFQ02,2200,024XJAW020,AAW024XJ6010B,22-01-12 07:25,22-01-11 19:07,MXIC,STBGA24A4L,4219,
BB223,UTC3000,RUNNING,R02AWE104,3200,024XJAW020,AAW024XJ6010B,22-01-12 15:56,22-01-12 03:52,MXIC,STBGA24A4L,4135,01/12/2022 MP
BB224,UTC3000,RUNNING,R02AWBK30,2200,048TPAW086,AAW048TP1041B,22-01-12 12:22,22-01-12 03:05,MXIC,TSOP1-48/M2,720,01/13/2022 MP
BB225,UTC3000,IDLE,,,,ALW078C93002A,,22-01-11 09:55,,,,01/14/2022 MP
BB226,UTC3000,RUNNING,R02AWGC03,2200,024XJAW020,AAW024XJ6010B,22-01-12 17:21,22-01-12 04:52,MXIC,STBGA24A4L,4280,01/15/2022 MP
BB227,UTC3000,RUNNING,R02AWFP03,2200,024XJAW020,AAW024XJ6010B,22-01-12 11:57,22-01-12 01:53,MXIC,STBGA24A4L,3443,01/16/2022 MP
BB228,UTC3000,IDLE,,,,ALW078EP1001A,,22-01-11 19:56,,,,01/17/2022 MP
BB229,UTC3000,IDLE,,,,AAW024XJ6010B,,22-01-12 05:23,,,,01/18/2022 MP
BB230,UTC3000,RUNNING,R02AWE102,3200,024XJAW020,AAW024XJ6010B,22-01-12 08:24,22-01-11 20:02,MXIC,STBGA24A4L,4240,01/19/2022 MP
BB231,UTC3000,IDLE,,,,ANV345XTC011A,,22-01-12 07:34,,,,01/20/2022 MP
BB232,UTC3000,RUNNING,P53MSKA01,2200,078EPMS004,AMS078EP1001A,22-01-12 18:55,22-01-09 17:32,MTI,FBGA-78UEP,5920,01/21/2022 MP
BB233,UTC3000,WAIT-REPAIR,R02AWGG01,2200,024XJAW017,AAW024XJ6011B,22-01-12 20:53:05,22-01-12 07:14,MXIC,STBGA24A4L,4260,01/14/2022 MP
BB234,UTC3000,IDLE,,,,AAW024XJ6010B,,22-01-12 06:56,,,,01/23/2022 MP
BB235,UTC3000,RUNNING,R02AWBN11,2200,048TPAW086,AAW048TP1041B,22-01-12 09:42,22-01-12 00:25,MXIC,TSOP1-48/M2,720,01/24/2022 MP
BB441,UTC1000S,RUNNING,R02AWGW09,2200,048TPAW054,AAW048TP1026E,22-01-12 07:25,22-01-12 01:43,MXIC,TSOP1-48/48M,2160,
BB442,UTC1000S,RUNNING,R02AWDP17,2200,064MRAW029,AAW064MR1009A,22-01-12 09:44,22-01-11 21:26,MXIC,MBGA64J4U,4000,
BB443,UTC1000S,RUNNING,R02BUAT02,2200,078EABU001,ABU078EA1001A,22-01-12 14:15,22-01-12 05:29,ICSI,FBGA-78LEA,2640,
BB444,UTC1000S,RUNNING,R02BUAT04,2200,078EABU001,ABU078EA1001A,22-01-12 10:54,22-01-12 06:58,ICSI,FBGA-78LEA,1166,
BB445,UTC1000S,RUNNING,R02ABMN06,2200,066TNAB031,AAB066TN1003A,22-01-12 16:15,22-01-12 06:26,WINBOND,TSOP2-66ME,2880,
BB446,UTC1000S,IDLE,,,,AMS048TW1046A,,22-01-11 17:14,,,,
BB447,UTC1000S,WAIT-SETUP,R02BUAC04,2200,096EABU001,ABU096EA1001A,22-01-12 08:24:06,22-01-12 07:46,ICSI,FBGA-96LEA,2560,
BB448,UTC1000S,SETUP,,,,ABU054NB2004C,22-01-12 09:07,22-01-12 07:43,,,,
BB449,UTC1000S,SETUP,R02MSFE01,2200,096ECMS010,AMS096EC3001B,22-01-12 08:28,22-01-12 07:58,MTI,FBGA-96UEC,5600,
BB450,UTC1000S,WAIT-REPAIR,,,,ABU056TH2005A,,22-01-11 17:38,,,,
BB451,UTC1000S,RUNNING,R02CDAQ06,2200,096CACD004,ACD096CA4001B,22-01-12 09:51,22-01-11 22:52,ETRON,FBGA-96UH6B,2666,
