process_id,master_desc,detail_id,remark
0008W235,Entity,E20700199,ESEC-2100
0008W235,Entity,E20700199,ESEC-2100
0008W235,Entity,E20700199,ESEC-2100
0008W235,Lot Size,O20700198,3200
0008W235,Entity Code,R20100698,Y
0008W235,PTN no,R21500198,05
0008W235,Support Entity,S20400199,Dual
0008W235,Support Entity,S20400199,Dual
0008W235,Support Entity,S22000102,
0008W235,Support Entity,S22000103,FG085A-CD2911.5-06A
0008W364,Entity,E20700199,DB-800;DB-700
0008W364,Entity,E20700199,DB-800;DB-700
0008W364,Entity,E20700199,DB-800;DB-700
0008W364,Lot Size,O20700198,4320
0008W364,Entity Code,R20100698,L
0008W364,Support Entity,S20400102,
0008W364,Support Entity,S20400102,
0008W374,Lot Size,O20700198,960
0008W374,Entity Code,R20100698,M
0008W374,Support Entity,S20400102,
0008W374,Support Entity,S20400102,
0008W748,Lot Size,O20700198,3520
0008W748,Entity Code,R20100698,C
0008W748,Support Entity,S20400102,
0008W748,Support Entity,S20400102,
0008W780,Lot Size,O20700198,2160
0008W780,Entity Code,R20100698,S
0008W780,Support Entity,S20400102,
0008W780,Support Entity,S20400102,
0008WA109,Lot Size,O20700198,950
0008WA109,Entity Code,R20100698,I
0008WA109,Support Entity,S20400102,
0008WA109,Support Entity,S20400102,
0008WA147,Lot Size,O20700198,6160
0008WA147,Entity Code,R20100698,S
0008WA147,Support Entity,S20400102,
0008WA147,Support Entity,S20400102,
0008WA208,Lot Size,O20700198,1200
0008WA208,Entity Code,R20100698,I
0008WA243,Lot Size,O20700198,1120
0008WA243,Entity Code,R20100698,S
0008WA243,Support Entity,S20400102,
0008WA243,Support Entity,S20400102,
0008WA401,Lot Size,O20700198,950
0008WA401,Entity Code,R20100698,I
0008WA407,Lot Size,O20700198,720
0008WA407,Entity Code,R20100698,G
0008WA407,Support Entity,S20400102,
0008WA407,Support Entity,S20400102,
0008WA432,Lot Size,O20700198,4320
0008WA432,Entity Code,R20100698,D
0008WA432,Support Entity,S20400102,
0008WA432,Support Entity,S20400102,
0008WA433,Lot Size,O20700198,6160
0008WA433,Entity Code,R20100698,C
0008WA433,Support Entity,S20400102,
0008WA433,Support Entity,S20400102,
0008WA88ENG,Lot Size,O20700198,720
0008WA88ENG,Entity Code,R20100698,I
0008WA89ENG,Lot Size,O20700198,720
0008WA89ENG,Entity Code,R20100698,I
0008WA90ENG,Entity Code,R20100698,G
0008WA90ENG,Support Entity,S20400102,
0008WA90ENG,Support Entity,S20400102,
0008WA91ENG,Entity Code,R20100698,G
0008WA91ENG,Support Entity,S20400102,
0008WA91ENG,Support Entity,S20400102,
0008WAA10,Lot Size,O20700198,2400
0008WAA10,Entity Code,R20100698,Y
0008WAA10,Support Entity,S20400102,
0008WAA10,Support Entity,S20400102,
0008WAA9,Lot Size,O20700198,2400
0008WAA9,Entity Code,R20100698,Y
0008WAA9,Support Entity,S20400102,
0008WAA9,Support Entity,S20400102,
0008WDAE001,Entity Code,R20100698,Y
0008WDAF001,Entity Code,R20100698,Y
0008WFCB001,Entity Code,R20100698,Y
0008WLAS001,Entity Code,R20100698,Y
0008WPRT001,Entity Code,R20100698,Y
