OPER,CUST,B/D#,MODEL,G.UPH
2200,MXIC,AAW016D53004A,UTC3000,0.0000
2200,MXIC,AAW016D53004A,UTC2000,92.3769
2200,MXIC,AAW016D53004A,UTC2000S,0.0000
2200,MXIC,AAW016D53004A,UTC1000,0.0000
2200,MXIC,AAW016D53004A,UTC1000S,0.0000
2200,MXIC,AAW016D53004A,MAXUM,0.0000
2200,MXIC,AAW016D53004A,MAXUM-CU,0.0000
2200,MXIC,AAW016D53004A,MAXUM-BASE,0.0000
2200,MXIC,AAW016D53004A,MAXUM-PLUS,79.2414
2200,MXIC,AAW016D53004A,ICONN-PLUS,0.0000
2200,MXIC,AAW016D53004A,ICONN,0.0000
2200,MXIC,AAW016D53004A,RAPID,0.0000
2200,MXIC,AAW016D53004A,UTC5000S,107.6208
2200,ENG,ANV345XTA010A,,0.0000
2200,ENG,ANV345XTA010A,,0.0000
2200,ENG,ANV345XTA010A,,0.0000
2200,ENG,ANV345XTA010A,,0.0000
2200,ENG,ANV345XTA010A,,0.0000
2200,ENG,ANV345XTA010A,,0.0000
2200,ENG,ANV345XTA010A,,0.0000
2200,ENG,ANV345XTA010A,,0.0000
2200,ENG,ANV345XTA010A,,0.0000
2200,ENG,ANV345XTA010A,,0.0000
2200,ENG,ANV345XTA010A,,0.0000
2200,ENG,ANV345XTA010A,,0.0000
2200,EMC,AHQ0442J3003A,,0.0000
2200,EMC,AHQ0442J3003A,,0.0000
2200,EMC,AHQ0442J3003A,,0.0000
2200,EMC,AHQ0442J3003A,,0.0000
2200,EMC,AHQ0442J3003A,,0.0000
2200,EMC,AHQ0442J3003A,,0.0000
2200,EMC,AHQ0442J3003A,,0.0000
2200,EMC,AHQ0442J3005A,,0.0000
2200,EMC,AHQ0442J3005A,,0.0000
2200,EMC,AHQ0442J3005A,,0.0000
2200,EMC,AHQ0442J3005A,,0.0000
2200,EMC,AHQ0442J3005A,,0.0000
2200,EMC,AHQ0442J3005A,,0.0000
2200,EMC,AHQ0442J3005A,,0.0000
2200,EMC,AHQ0442J3006A,,0.0000
2200,EMC,AHQ0442J3006A,,0.0000
2200,EMC,AHQ0442J3006A,,0.0000
2200,EMC,AHQ0442J3006A,,0.0000
2200,EMC,AHQ0442J3006A,,0.0000
2200,EMC,AHQ0442J3006A,,0.0000
2200,EMC,AHQ0442J3006A,,0.0000
2200,PHISON,TDANV153XT8028A-A,,0.0000
2200,PHISON,TDANV153XT8028A-A,,0.0000
2200,PHISON,TDANV153XT8028A-A,,0.0000
2200,PHISON,TDANV153XT8028A-A,,0.0000
2200,PHISON,TDANV153XT8028A-A,,0.0000
2200,PHISON,TDANV153XT8028A-A,,0.0000
2200,PHISON,TDANV153XT8028A-A,,0.0000
2200,PHISON,ANV0086A1032A,MAXUM,0.0000
